source_file,condition,role,run,behavior_key,behavior,behavior_count,behavior_denominator,behavior_percent,threshold_percent,present
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,26,protective_behavior,Protective Behavior,0.0,1806.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,27,protective_behavior,Protective Behavior,0.0,1955.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,28,protective_behavior,Protective Behavior,0.0,1981.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,29,protective_behavior,Protective Behavior,0.0,1978.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,30,protective_behavior,Protective Behavior,0.0,1979.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,31,protective_behavior,Protective Behavior,0.0,1944.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,32,protective_behavior,Protective Behavior,0.0,1780.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,33,protective_behavior,Protective Behavior,0.0,1980.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,34,protective_behavior,Protective Behavior,0.0,1809.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,35,protective_behavior,Protective Behavior,0.0,1974.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,36,protective_behavior,Protective Behavior,0.0,1998.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,37,protective_behavior,Protective Behavior,0.0,1953.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,38,protective_behavior,Protective Behavior,0.0,1825.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,39,protective_behavior,Protective Behavior,0.0,1780.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,40,protective_behavior,Protective Behavior,0.0,1982.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,41,protective_behavior,Protective Behavior,0.0,1800.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,42,protective_behavior,Protective Behavior,0.0,1850.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,43,protective_behavior,Protective Behavior,0.0,1963.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,44,protective_behavior,Protective Behavior,0.0,1926.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,45,protective_behavior,Protective Behavior,0.0,1991.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,46,protective_behavior,Protective Behavior,0.0,1942.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,47,protective_behavior,Protective Behavior,0.0,1814.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,48,protective_behavior,Protective Behavior,0.0,1982.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,49,protective_behavior,Protective Behavior,0.0,1983.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,50,protective_behavior,Protective Behavior,0.0,1966.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,51,protective_behavior,Protective Behavior,0.0,1934.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,52,protective_behavior,Protective Behavior,0.0,1948.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,53,protective_behavior,Protective Behavior,0.0,1928.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,54,protective_behavior,Protective Behavior,0.0,1838.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,55,protective_behavior,Protective Behavior,0.0,1979.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,56,protective_behavior,Protective Behavior,0.0,1973.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,57,protective_behavior,Protective Behavior,0.0,1944.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,58,protective_behavior,Protective Behavior,0.0,1818.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,59,protective_behavior,Protective Behavior,0.0,1823.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,60,protective_behavior,Protective Behavior,0.0,1961.0,0.0,7.091133199926835,0
