agent_type,condition,source_file,Affiliative_pct,Internalizing_pct,Externalizing_pct
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,69.0711462450593,1.383399209486166,29.545454545454547
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.137254901960784,24.215686274509803,67.64705882352942
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.555772994129158,26.22309197651663,67.2211350293542
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,27.07993474714519,8.564437194127244,64.35562805872756
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,36.84661525278492,11.825192802056556,51.32819194515853
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.463917525773196,31.237113402061855,63.298969072164944
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,2.627737226277372,19.708029197080293,77.66423357664235
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.257528556593977,28.556593977154726,67.1858774662513
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.045977011494253,24.6684350132626,67.28558797524315
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,63.64503816793893,2.480916030534351,33.87404580152672
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.263498920086392,30.237580993520517,63.498920086393085
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.914728682170542,19.476744186046513,71.60852713178295
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.397987191216835,23.604757548032936,70.99725526075022
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.581532416502947,27.406679764243613,66.01178781925344
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,65.95949855351977,3.664416586306654,30.37608486017358
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,66.97626418988648,5.366357069143446,27.657378740970074
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.894433781190019,26.19961612284069,68.90595009596929
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.435643564356436,30.099009900990097,63.46534653465346
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,11.908517350157728,16.798107255520506,71.29337539432177
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,14.53061224489796,16.816326530612244,68.6530612244898
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.761904761904762,28.8961038961039,66.34199134199135
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,7.371794871794872,31.41025641025641,61.21794871794872
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,65.81632653061224,1.3265306122448979,32.857142857142854
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,1.6903313049357673,21.974306964164978,76.33536173089925
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.996197718631179,23.726235741444867,69.27756653992395
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,9.276437847866418,22.634508348794064,68.08905380333951
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,2.503681885125184,20.913107511045656,76.58321060382917
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,45.410628019323674,38.64734299516908,15.942028985507244
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,69.71762414800389,2.6290165530671863,27.65335929892892
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.9765208110992525,27.854855923159015,66.16862326574173
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,69.41431670281996,1.6268980477223427,28.9587852494577
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,7.833333333333334,20.666666666666668,71.5
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,61.469712015888774,2.6812313803376364,35.84905660377358
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.468275245755138,25.915996425379806,69.61572832886506
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,75.93406593406593,3.1868131868131866,20.87912087912088
