source_file,source_path,agent_type,condition,run,selected_complex_total,total_expectancy,healthy_friendliness,healthy_friendliness_count,healthy_friendliness_denominator,protective_behavior,protective_behavior_count,protective_behavior_denominator,hopefulness,hopefulness_count,hopefulness_denominator,community_trusting_vulnerability,community_trusting_vulnerability_count,community_trusting_vulnerability_denominator,willingness_to_flee,willingness_to_flee_count,willingness_to_flee_denominator,fearful_withdrawn_relationship,fearful_withdrawn_relationship_count,fearful_withdrawn_relationship_denominator,bully_behavior,bully_behavior_count,bully_behavior_denominator,aggressive_withdrawn_relationship,aggressive_withdrawn_relationship_count,aggressive_withdrawn_relationship_denominator,dangerous_trust,dangerous_trust_count,dangerous_trust_denominator,cynical,cynical_count,cynical_denominator,learned_helplessness,learned_helplessness_count,learned_helplessness_denominator
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,21,1022.0,1195.0,0.29354207436399216,3.0,1022.0,6.262230919765166,64.0,1022.0,60.5857740585774,724.0,1195.0,0.0,0.0,1022.0,2.8375733855185907,29.0,1022.0,0.0,0.0,1022.0,26.418786692759294,270.0,1022.0,37.866927592954994,387.0,1022.0,2.935420743639922,30.0,1022.0,39.41422594142259,471.0,1195.0,23.385518590998043,239.0,1022.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,22,1226.0,1201.0,10.68515497553018,131.0,1226.0,16.39477977161501,201.0,1226.0,72.85595337218984,875.0,1201.0,0.0,0.0,1226.0,3.915171288743882,48.0,1226.0,0.0,0.0,1226.0,36.7862969004894,451.0,1226.0,24.469820554649267,300.0,1226.0,3.0995106035889073,38.0,1226.0,27.14404662781016,326.0,1201.0,4.64926590538336,57.0,1226.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,23,1167.0,1191.0,20.22279348757498,236.0,1167.0,16.62382176520994,194.0,1167.0,64.73551637279597,771.0,1191.0,0.0,0.0,1167.0,2.570694087403599,30.0,1167.0,0.0,0.0,1167.0,34.10454155955441,398.0,1167.0,13.967437874892887,163.0,1167.0,3.2562125107112254,38.0,1167.0,35.26448362720403,420.0,1191.0,9.254498714652955,108.0,1167.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,24,970.0,1199.0,0.30927835051546393,3.0,970.0,5.154639175257731,50.0,970.0,57.798165137614674,693.0,1199.0,0.0,0.0,970.0,2.1649484536082473,21.0,970.0,0.10309278350515465,1.0,970.0,21.1340206185567,205.0,970.0,38.76288659793815,376.0,970.0,3.402061855670103,33.0,970.0,42.201834862385326,506.0,1199.0,28.969072164948457,281.0,970.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,25,1370.0,1199.0,0.5109489051094891,7.0,1370.0,2.116788321167883,29.0,1370.0,59.1326105087573,709.0,1199.0,0.0,0.0,1370.0,1.167883211678832,16.0,1370.0,0.291970802919708,4.0,1370.0,44.81751824817518,614.0,1370.0,30.072992700729927,412.0,1370.0,2.7737226277372264,38.0,1370.0,40.8673894912427,490.0,1199.0,18.248175182481752,250.0,1370.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,26,963.0,1213.0,0.0,0.0,963.0,4.257528556593977,41.0,963.0,56.80131904369332,689.0,1213.0,0.0,0.0,963.0,2.3883696780893042,23.0,963.0,0.10384215991692627,1.0,963.0,20.768431983385256,200.0,963.0,42.99065420560748,414.0,963.0,3.4267912772585665,33.0,963.0,43.19868095630668,524.0,1213.0,26.064382139148496,251.0,963.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,27,1131.0,1217.0,3.2714412024756854,37.0,1131.0,4.774535809018567,54.0,1131.0,62.28430566967954,758.0,1217.0,0.0,0.0,1131.0,2.475685234305924,28.0,1131.0,0.0,0.0,1131.0,32.44916003536693,367.0,1131.0,31.741821396993814,359.0,1131.0,3.094606542882405,35.0,1131.0,37.71569433032046,459.0,1217.0,22.192749778956674,251.0,1131.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,28,1048.0,1187.0,36.25954198473282,380.0,1048.0,27.385496183206108,287.0,1048.0,85.76242628475147,1018.0,1187.0,0.0,0.0,1048.0,1.6221374045801527,17.0,1048.0,0.0,0.0,1048.0,28.053435114503817,294.0,1048.0,3.0534351145038165,32.0,1048.0,2.767175572519084,29.0,1048.0,14.237573715248525,169.0,1187.0,0.8587786259541985,9.0,1048.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,29,926.0,1202.0,1.079913606911447,10.0,926.0,5.183585313174946,48.0,926.0,58.56905158069884,704.0,1202.0,0.0,0.0,926.0,2.699784017278618,25.0,926.0,0.10799136069114472,1.0,926.0,20.626349892008637,191.0,926.0,39.8488120950324,369.0,926.0,3.023758099352052,28.0,926.0,41.43094841930117,498.0,1202.0,27.429805615550755,254.0,926.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,30,1032.0,1195.0,0.1937984496124031,2.0,1032.0,8.720930232558139,90.0,1032.0,67.78242677824268,810.0,1195.0,0.0,0.0,1032.0,2.2286821705426356,23.0,1032.0,0.0,0.0,1032.0,25.775193798449614,266.0,1032.0,41.47286821705426,428.0,1032.0,4.3604651162790695,45.0,1032.0,32.21757322175732,385.0,1195.0,17.248062015503876,178.0,1032.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,31,1093.0,1199.0,0.0,0.0,1093.0,5.397987191216835,59.0,1093.0,60.550458715596335,726.0,1199.0,0.0,0.0,1093.0,2.470265324794145,27.0,1093.0,0.0,0.0,1093.0,32.84537968892955,359.0,1093.0,35.4071363220494,387.0,1093.0,2.7447392497712717,30.0,1093.0,39.44954128440367,473.0,1199.0,21.134492223238794,231.0,1093.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,32,1018.0,1189.0,1.6699410609037328,17.0,1018.0,4.911591355599214,50.0,1018.0,61.059714045416314,726.0,1189.0,0.0,0.0,1018.0,1.37524557956778,14.0,1018.0,0.0,0.0,1018.0,25.93320235756385,264.0,1018.0,38.1139489194499,388.0,1018.0,1.9646365422396856,20.0,1018.0,38.94028595458368,463.0,1189.0,26.031434184675835,265.0,1018.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,33,1037.0,1206.0,35.67984570877532,370.0,1037.0,30.279652844744454,314.0,1037.0,80.84577114427861,975.0,1206.0,0.0,0.0,1037.0,2.4108003857280615,25.0,1037.0,0.0,0.0,1037.0,25.650916104146575,266.0,1037.0,1.253616200578592,13.0,1037.0,3.4715525554484086,36.0,1037.0,19.154228855721392,231.0,1206.0,1.253616200578592,13.0,1037.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,34,969.0,1188.0,35.60371517027864,345.0,969.0,31.372549019607842,304.0,969.0,80.21885521885523,953.0,1188.0,0.0,0.0,969.0,1.238390092879257,12.0,969.0,0.0,0.0,969.0,21.155830753353975,205.0,969.0,4.12796697626419,40.0,969.0,2.3735810113519094,23.0,969.0,19.78114478114478,235.0,1188.0,4.12796697626419,40.0,969.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,35,1042.0,1201.0,0.0,0.0,1042.0,4.894433781190019,51.0,1042.0,60.94920899250624,732.0,1201.0,0.0,0.0,1042.0,3.5508637236084453,37.0,1042.0,0.0,0.0,1042.0,27.83109404990403,290.0,1042.0,38.771593090211134,404.0,1042.0,2.3032629558541267,24.0,1042.0,39.05079100749376,469.0,1201.0,22.648752399232247,236.0,1042.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,36,1010.0,1193.0,0.9900990099009901,10.0,1010.0,5.445544554455446,55.0,1010.0,57.83738474434199,690.0,1193.0,0.0,0.0,1010.0,2.4752475247524752,25.0,1010.0,0.0,0.0,1010.0,25.14851485148515,254.0,1010.0,35.94059405940594,363.0,1010.0,2.376237623762376,24.0,1010.0,42.162615255658004,503.0,1193.0,27.623762376237625,279.0,1010.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,37,1268.0,1189.0,3.391167192429022,43.0,1268.0,8.517350157728707,108.0,1268.0,66.02186711522288,785.0,1189.0,0.0,0.0,1268.0,3.627760252365931,46.0,1268.0,0.0,0.0,1268.0,39.58990536277602,502.0,1268.0,29.179810725552052,370.0,1268.0,2.5236593059936907,32.0,1268.0,33.978132884777125,404.0,1189.0,13.170347003154575,167.0,1268.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,38,1225.0,1199.0,4.979591836734694,61.0,1225.0,9.551020408163264,117.0,1225.0,62.8023352793995,753.0,1199.0,0.0,0.0,1225.0,2.4489795918367347,30.0,1225.0,0.163265306122449,2.0,1225.0,39.02040816326531,478.0,1225.0,26.77551020408163,328.0,1225.0,2.857142857142857,35.0,1225.0,37.1976647206005,446.0,1199.0,14.204081632653063,174.0,1225.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,39,924.0,1188.0,0.21645021645021645,2.0,924.0,4.545454545454546,42.0,924.0,57.23905723905723,680.0,1188.0,0.0,0.0,924.0,2.813852813852814,26.0,924.0,0.0,0.0,924.0,23.376623376623375,216.0,924.0,40.476190476190474,374.0,924.0,2.4891774891774894,23.0,924.0,42.76094276094276,508.0,1188.0,26.082251082251084,241.0,924.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,40,936.0,1204.0,2.4572649572649574,23.0,936.0,4.914529914529915,46.0,936.0,56.97674418604651,686.0,1204.0,0.0,0.0,936.0,2.6709401709401708,25.0,936.0,0.0,0.0,936.0,19.65811965811966,184.0,936.0,37.60683760683761,352.0,936.0,3.9529914529914527,37.0,936.0,43.02325581395349,518.0,1204.0,28.73931623931624,269.0,936.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,41,980.0,1198.0,34.285714285714285,336.0,980.0,31.53061224489796,309.0,980.0,76.54424040066779,917.0,1198.0,0.0,0.0,980.0,1.3265306122448979,13.0,980.0,0.0,0.0,980.0,23.877551020408163,234.0,980.0,6.122448979591836,60.0,980.0,2.857142857142857,28.0,980.0,23.45575959933222,281.0,1198.0,0.0,0.0,980.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,42,1479.0,1212.0,0.0676132521974307,1.0,1479.0,1.6227180527383367,24.0,1479.0,62.04620462046204,752.0,1212.0,0.0,0.0,1479.0,1.6227180527383367,24.0,1479.0,0.1352265043948614,2.0,1479.0,48.275862068965516,714.0,1479.0,26.369168356997974,390.0,1479.0,1.6903313049357673,25.0,1479.0,37.95379537953795,460.0,1212.0,20.21636240703178,299.0,1479.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,43,1315.0,1199.0,3.3460076045627374,44.0,1315.0,3.650190114068441,48.0,1315.0,64.30358632193494,771.0,1199.0,0.0,0.0,1315.0,3.4980988593155895,46.0,1315.0,0.0,0.0,1315.0,39.77186311787072,523.0,1315.0,26.844106463878326,353.0,1315.0,2.6615969581749046,35.0,1315.0,35.696413678065056,428.0,1199.0,20.228136882129277,266.0,1315.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,44,1078.0,1193.0,2.1335807050092765,23.0,1078.0,7.142857142857142,77.0,1078.0,60.016764459346184,716.0,1193.0,0.0,0.0,1078.0,1.7625231910946195,19.0,1078.0,0.0,0.0,1078.0,28.942486085343226,312.0,1078.0,37.384044526901675,403.0,1078.0,1.7625231910946195,19.0,1078.0,39.983235540653816,477.0,1193.0,20.871985157699445,225.0,1078.0
