Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
32,613,178,494,140,63,559,118,419,84,3,487,501,512,317,12,0,0,0,0,0,42,12,194,240,292,363,27,56,866,317,849.4819099710531,198.0452938887147,70.15041552945851,11.683739600383955,269.3103185122927,225.82125770132416
33,266,80,90,716,58,197,18,33,663,5,516,464,520,227,290,0,0,0,1,0,364,15,4,146,50,2,20,31,689,227,1048.7567399507566,242.6911249729791,86.25979396015134,14.095315452917566,7.60702124345372,2.8263814407366756
34,652,74,232,329,70,587,21,176,267,3,516,479,505,278,143,0,12,0,0,0,272,21,123,412,172,108,39,68,776,278,1110.8570882037393,227.98342315101345,94.60687863730378,13.755236465194477,414.6865332418548,491.8436299642279
35,628,318,143,153,58,556,254,89,93,1,476,511,513,278,200,0,0,0,4,0,345,30,61,451,105,46,32,43,715,278,854.8513954504126,197.93309086722448,107.96392011532667,15.557640580257226,31.24509851673256,17.415633730951484
36,657,107,430,235,71,605,48,357,180,0,482,480,538,88,0,0,13,0,0,0,72,31,7,296,308,307,23,50,1102,88,759.5722480123255,185.50240763374723,89.79186600262949,14.026429826684355,55.119062503829966,22.955665687391804
37,712,89,138,266,73,658,33,83,205,0,488,506,506,220,222,0,0,0,0,0,350,30,73,536,82,38,34,45,759,220,915.5908181039157,204.17793256386943,97.36510352363304,14.455615632319782,300.89412320676615,257.0959961802308
38,545,259,474,156,63,493,210,422,89,2,457,526,517,192,3,0,0,0,0,0,74,18,45,200,290,361,30,61,1024,192,767.414240556371,192.071797522825,78.37181507499129,13.056600157415229,73.31156387584689,48.88913249163876
39,729,95,256,104,63,675,36,184,44,1,515,484,501,222,253,0,0,0,0,0,271,27,122,505,73,104,25,80,718,222,1047.7548752908147,227.6614031661597,95.80211567910227,14.905957101957508,218.21370380820105,153.2540051164637
40,824,91,118,188,72,743,34,57,127,19,459,505,536,228,207,0,0,0,0,0,398,34,78,627,41,16,34,41,752,228,1038.2591195785253,224.77595694503304,95.97567249618363,13.865863713330969,11.018456370621287,4.638755416305938
41,622,78,401,333,65,563,14,335,271,15,484,489,527,204,1,0,18,0,0,0,96,14,106,258,305,275,27,60,994,204,776.8019759429798,183.1922718075966,75.8656200015722,12.378164098969636,96.69339014919564,37.30813110451934
42,853,119,114,105,66,795,46,57,59,14,487,482,531,132,243,0,0,0,0,0,381,21,27,734,34,10,34,47,839,132,1035.3919610170346,223.2984695451525,89.84499469038565,13.172449643288282,9.317505325937903,3.0316690913566546
43,354,89,101,645,73,295,27,34,583,18,489,512,499,235,238,0,0,0,0,0,405,27,2,253,41,0,34,34,722,235,1040.544872272663,219.79932212241638,99.35057610245708,14.486369947899043,4.362384476910599,1.3208363797206575
