Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
132,239,270,0,0,0,0,0,349,10,147,577,69,22,19,66,698,239
133,216,261,0,0,0,0,0,373,18,4,194,57,17,23,58,708,216
134,213,247,0,0,0,1,0,409,21,3,200,49,16,32,46,734,213
135,134,0,0,9,0,0,0,28,21,50,183,315,376,37,80,1059,134
136,233,10,0,17,0,1,0,50,30,106,152,318,312,36,67,951,233
137,228,13,0,0,0,1,0,28,7,71,50,285,379,37,77,965,228
138,211,9,0,0,0,0,0,26,33,65,222,300,353,41,75,985,211
139,160,285,0,0,0,0,0,419,26,28,593,29,0,28,32,738,160
140,210,9,0,0,0,0,0,46,11,86,195,305,361,34,63,984,210
141,284,68,0,12,0,0,0,231,42,140,453,193,178,23,59,851,284
142,262,271,0,0,0,0,0,400,29,7,206,45,0,29,29,680,262
143,173,206,0,0,0,0,0,352,41,34,609,56,53,34,51,813,173
144,228,263,0,0,0,0,0,378,30,8,227,62,8,27,37,710,228
145,169,260,0,0,0,0,0,332,38,52,543,55,68,29,57,760,169
146,280,268,0,0,0,0,0,359,44,4,252,34,27,36,58,659,280
147,169,7,0,7,0,0,0,83,17,73,256,312,321,40,82,1018,169
148,210,282,0,0,0,0,0,424,11,3,188,41,5,25,40,723,210
149,219,289,0,0,0,0,0,394,14,0,188,38,18,41,43,709,219
150,253,3,0,0,0,0,0,55,17,83,147,304,371,38,62,940,253
151,310,121,0,5,0,0,0,262,26,147,462,170,131,35,120,755,310
152,197,265,0,0,0,2,0,383,25,25,551,51,9,22,51,733,197
153,205,3,0,0,0,0,0,48,16,76,217,308,359,32,62,985,205
154,287,134,0,3,0,0,0,273,55,94,528,148,101,40,57,782,287
155,125,2,0,6,0,0,0,85,25,17,217,270,329,34,77,1074,125
156,249,4,0,0,0,0,0,45,19,125,267,321,349,35,58,949,249
157,232,8,0,0,0,0,0,10,36,111,243,305,372,29,74,959,232
158,202,231,0,0,0,0,0,335,22,22,377,60,38,34,50,755,202
159,270,186,0,0,0,0,0,352,20,80,510,113,65,32,44,754,270
160,265,301,0,0,0,0,0,365,19,183,585,33,1,22,32,630,265
161,213,259,0,0,0,0,0,375,39,7,300,48,30,29,43,721,213
162,213,183,0,0,0,0,0,309,18,119,625,98,95,37,41,803,213
163,326,0,0,28,0,0,0,3,111,184,12,210,408,30,70,885,326
164,174,10,0,1,0,0,0,55,20,65,199,341,339,29,78,1016,174
165,246,245,0,0,0,0,0,387,20,4,294,40,2,30,33,710,246
166,205,246,0,0,0,0,0,356,27,16,242,65,20,30,43,737,205
167,192,262,0,0,0,0,0,360,21,12,434,34,6,25,45,737,192
168,233,239,0,0,0,0,0,400,19,0,214,55,11,25,53,719,233
169,221,0,0,28,0,0,0,50,24,137,148,299,349,30,67,977,221
170,189,0,0,0,0,0,0,72,43,49,204,305,310,26,55,1004,189
171,231,250,0,0,0,8,0,347,25,145,606,63,25,22,31,704,231
172,259,193,0,1,0,0,0,377,38,37,369,91,6,29,29,749,259
173,163,269,0,0,0,0,0,404,31,8,430,37,11,30,31,760,163
174,177,1,0,6,0,0,0,95,21,81,305,285,285,46,91,1032,177
175,94,0,0,0,0,0,0,19,11,20,262,314,377,27,74,1093,94
176,204,0,0,0,0,0,0,20,10,130,235,309,398,35,81,994,204
177,243,253,0,2,0,0,0,365,16,11,341,62,22,26,53,700,243
178,261,270,0,0,0,0,0,377,23,4,231,45,1,33,39,663,261
179,200,2,0,6,0,0,0,105,27,78,317,276,292,34,63,995,200
180,237,18,0,0,0,0,0,14,28,130,249,279,397,41,70,967,237
181,361,34,0,0,0,0,0,156,30,208,392,283,243,26,78,820,361
182,285,3,0,0,0,0,0,60,15,160,270,313,347,31,59,904,285
183,241,0,0,0,0,0,0,5,3,181,243,321,408,40,73,964,241
184,225,249,0,0,0,0,0,390,18,0,258,44,20,31,39,738,225
185,168,7,0,0,0,0,0,60,14,54,212,298,348,37,68,1025,168
186,229,12,0,2,0,0,0,109,37,99,371,270,292,40,68,972,229
187,210,275,0,0,0,0,0,368,22,2,217,50,0,32,33,704,210
188,203,225,0,0,0,1,0,282,60,52,543,58,80,40,105,772,203
189,249,231,0,0,0,4,0,408,29,8,340,45,0,34,34,741,249
190,230,229,0,2,0,0,0,368,30,7,337,69,12,47,49,752,230
191,224,2,0,19,0,0,0,47,30,104,180,315,326,36,65,966,224
192,150,0,0,7,0,0,0,40,15,43,240,316,349,29,55,1035,150
193,249,118,0,22,0,0,0,362,26,123,538,163,44,35,52,856,249
194,209,272,0,0,0,0,0,375,26,4,213,66,4,27,55,714,209
195,185,252,0,0,0,0,0,433,25,2,234,47,0,24,25,755,185
196,237,193,0,11,0,0,0,376,36,34,468,106,5,19,46,776,237
197,182,3,0,34,0,0,0,104,16,78,205,278,303,35,65,1024,182
198,242,185,0,3,0,0,0,351,17,16,221,91,24,31,65,775,242
199,192,263,0,1,0,0,0,402,13,4,186,59,0,22,23,727,192
200,209,227,0,1,0,0,0,374,32,2,220,28,22,28,58,769,209

Statistic,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
Total,45228,29815,0,559,2,72,0,50055,5552,11524,62672,30346,28836,6256,10822,164938,45228
Mean,226.14,149.07,0.00,2.79,0.01,0.36,0.00,250.28,27.76,57.62,313.36,151.73,144.18,31.28,54.11,824.69,226.14
Std,51.70,115.75,0.00,6.39,0.10,1.14,0.00,154.13,21.65,60.48,138.70,116.24,154.75,6.27,19.78,127.89,51.70
Min,94,0,0,0,0,0,0,0,3,0,12,28,0,16,19,630,94
Max,411,303,0,34,1,8,0,433,262,352,665,341,408,51,130,1093,411
