Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
120,167,0,0,67,173,0,0,0,12,0,0,0,393,16,38,1036,167
121,230,0,0,0,20,163,0,0,321,0,0,0,242,25,65,961,230
122,218,0,0,16,9,78,0,3,342,0,0,0,298,17,20,977,218
123,207,0,0,6,10,221,0,0,315,0,0,0,197,25,41,1007,207
124,189,0,0,56,173,0,0,0,27,0,0,0,389,20,33,1012,189
125,252,0,0,12,135,0,0,0,68,0,1,0,383,21,53,950,252
126,220,0,0,0,16,92,0,0,354,0,0,0,300,36,62,984,220
127,181,0,0,14,18,75,0,5,317,0,0,0,302,19,19,1001,181
128,209,0,0,1,10,56,0,0,323,0,0,0,347,25,61,999,209
129,190,0,0,17,15,76,0,5,338,0,0,0,302,19,20,1016,190
130,221,0,0,0,17,89,0,1,333,0,1,0,328,23,47,983,221
131,242,0,0,13,5,276,0,8,340,0,0,0,89,22,31,951,242
132,200,0,0,19,22,90,0,7,325,0,0,0,286,21,21,1023,200
133,175,0,0,61,179,0,0,0,14,0,0,0,401,15,33,1029,175
134,215,0,0,11,30,125,0,1,308,0,0,0,283,18,30,978,215
135,213,0,0,0,70,36,0,0,195,0,0,0,384,24,48,1000,213
136,253,0,0,11,164,0,0,1,4,0,0,0,419,26,46,953,253
137,166,0,0,5,6,119,0,0,307,0,0,0,291,31,60,1043,166
138,183,0,0,42,162,0,0,2,11,0,0,0,402,21,41,1027,183
139,213,0,0,7,6,107,0,0,328,0,0,0,254,23,61,969,213
140,203,0,0,11,89,1,0,0,146,0,0,0,419,31,59,1008,203
141,238,0,0,14,8,198,0,0,323,0,0,0,201,27,49,970,238
142,201,0,0,9,17,92,0,0,321,0,0,0,304,20,56,1011,201
143,243,0,0,13,176,2,0,0,54,0,0,0,412,15,30,966,243
144,295,0,0,1,156,1,0,0,18,0,0,0,428,27,53,914,295
145,176,0,0,20,16,59,0,6,333,0,0,0,328,10,18,1018,176
146,192,0,0,0,6,16,0,7,323,0,0,0,343,26,51,1003,192
147,196,0,0,0,10,33,0,0,350,0,0,0,383,24,58,1018,196
148,262,0,0,0,157,0,0,0,20,0,1,0,390,30,63,952,262
149,162,0,0,9,22,33,0,7,327,0,0,0,358,16,26,1029,162
150,221,0,0,14,10,219,0,0,334,0,0,0,170,15,21,974,221
151,288,0,0,0,179,1,0,0,9,0,0,0,392,22,52,936,288
152,224,0,0,11,159,0,0,0,19,0,0,0,409,20,33,970,224
153,186,0,0,14,7,118,0,0,329,0,0,0,262,28,52,1021,186
154,172,0,0,8,10,130,0,0,334,0,0,0,286,31,54,1040,172
