source_file,source_path,run,total_complex_behaviors,total_environment_count,learned_helplessness_pct,healthy_friendliness_pct,help_seeking_vulnerability_pct,ally_environment_pct,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,threat_count,ally_count,prey_count,threshold_from_figure7A_pct,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,31,920.0,1500.0,29.02173913043478,0.5434782608695652,0.0,33.46666666666667,36.0,0.0,5.0,183.0,398.0,267.0,31.0,516.0,502.0,482.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,32,970.0,1500.0,25.15463917525773,2.1649484536082473,0.0,34.4,57.0,0.0,21.0,228.0,388.0,244.0,32.0,484.0,516.0,500.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,33,1068.0,1500.0,2.9962546816479403,31.647940074906366,0.0,33.46666666666667,299.0,0.0,338.0,294.0,64.0,32.0,41.0,519.0,502.0,479.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,34,1124.0,1500.0,24.822064056939503,1.601423487544484,0.0,32.13333333333333,36.0,0.0,18.0,419.0,354.0,279.0,18.0,514.0,482.0,504.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,35,1099.0,1500.0,9.918107370336669,15.832575068243859,0.0,33.733333333333334,184.0,0.0,174.0,375.0,227.0,109.0,30.0,496.0,506.0,498.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,36,1120.0,1500.0,21.964285714285715,0.8928571428571428,0.0,33.86666666666667,43.0,0.0,10.0,405.0,391.0,246.0,25.0,470.0,508.0,522.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,37,936.0,1500.0,1.3888888888888888,40.38461538461539,0.0,32.4,295.0,0.0,378.0,211.0,4.0,13.0,35.0,496.0,486.0,518.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,38,1262.0,1500.0,22.503961965134707,3.565768621236133,0.0,31.4,34.0,0.0,45.0,538.0,331.0,284.0,30.0,511.0,471.0,518.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,39,1051.0,1500.0,5.613701236917222,22.26450999048525,0.0,33.4,233.0,0.0,234.0,330.0,155.0,59.0,40.0,503.0,501.0,496.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,40,1265.0,1500.0,17.628458498023715,0.5533596837944664,0.0,35.8,54.0,0.0,7.0,533.0,421.0,223.0,27.0,458.0,537.0,505.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,41,948.0,1500.0,28.059071729957807,2.109704641350211,0.0,32.666666666666664,35.0,0.0,20.0,214.0,364.0,266.0,49.0,498.0,490.0,512.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,42,854.0,1500.0,0.0,41.451990632318505,0.0,31.133333333333336,336.0,0.0,354.0,112.0,15.0,0.0,37.0,521.0,467.0,512.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,43,1000.0,1500.0,1.4000000000000001,27.1,0.0,34.53333333333333,318.0,0.0,271.0,225.0,140.0,14.0,32.0,510.0,518.0,472.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,44,1148.0,1500.0,21.602787456445995,0.8710801393728222,0.0,34.13333333333333,60.0,0.0,10.0,387.0,411.0,248.0,32.0,490.0,512.0,498.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,45,1354.0,1500.0,15.36189069423929,4.13589364844904,0.0,34.8,81.0,0.0,56.0,614.0,361.0,208.0,34.0,487.0,522.0,491.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,46,1015.0,1500.0,21.87192118226601,1.3793103448275863,0.0,36.0,51.0,0.0,14.0,277.0,425.0,222.0,26.0,462.0,540.0,498.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,47,1242.0,1500.0,13.123993558776167,12.962962962962962,0.0,32.86666666666667,132.0,0.0,161.0,531.0,226.0,163.0,29.0,493.0,493.0,514.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,48,1039.0,1500.0,0.0,36.66987487969201,0.0,33.266666666666666,316.0,0.0,381.0,288.0,19.0,0.0,35.0,487.0,499.0,514.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,49,963.0,1500.0,27.31048805815161,0.4153686396677051,0.0,31.6,63.0,0.0,4.0,220.0,383.0,263.0,30.0,523.0,474.0,503.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,50,992.0,1500.0,25.0,0.5040322580645161,0.0,33.733333333333334,59.0,0.0,5.0,250.0,401.0,248.0,29.0,485.0,506.0,509.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,51,972.0,1500.0,0.0,40.4320987654321,0.0,33.46666666666667,308.0,0.0,393.0,220.0,13.0,0.0,38.0,488.0,502.0,510.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,52,1010.0,1500.0,25.14851485148515,1.3861386138613863,0.0,33.13333333333333,68.0,0.0,14.0,261.0,381.0,254.0,32.0,525.0,497.0,478.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,53,1079.0,1500.0,21.872103799814642,0.09267840593141798,0.0,34.0,58.0,0.0,1.0,344.0,407.0,236.0,33.0,476.0,510.0,514.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,54,868.0,1500.0,31.797235023041477,0.0,0.0,33.266666666666666,26.0,0.0,0.0,127.0,404.0,276.0,35.0,495.0,499.0,506.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,55,976.0,1500.0,0.0,28.07377049180328,0.0,32.733333333333334,297.0,0.0,274.0,261.0,106.0,0.0,38.0,487.0,491.0,522.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,56,962.0,1500.0,0.0,40.644490644490645,0.0,31.933333333333337,330.0,0.0,391.0,216.0,2.0,0.0,23.0,515.0,479.0,506.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,57,930.0,1500.0,33.11827956989247,1.7204301075268817,0.0,32.13333333333333,25.0,0.0,16.0,182.0,374.0,308.0,25.0,538.0,482.0,480.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,58,1221.0,1500.0,16.78951678951679,4.176904176904177,0.0,32.666666666666664,101.0,0.0,51.0,486.0,346.0,205.0,32.0,500.0,490.0,510.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,59,1002.0,1500.0,27.644710578842314,0.6986027944111777,0.0,32.33333333333333,68.0,0.0,7.0,232.0,382.0,277.0,36.0,534.0,485.0,481.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,60,1316.0,1500.0,19.6048632218845,0.303951367781155,0.0,32.800000000000004,58.0,0.0,4.0,564.0,397.0,258.0,35.0,510.0,492.0,498.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,61,1268.0,1500.0,16.798107255520506,6.940063091482649,0.0,31.533333333333335,85.0,0.0,88.0,564.0,287.0,213.0,31.0,503.0,473.0,524.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,62,1020.0,1500.0,25.882352941176475,3.431372549019608,0.0,32.46666666666667,39.0,0.0,35.0,295.0,345.0,264.0,42.0,512.0,487.0,501.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,63,1019.0,1500.0,0.0,34.24926398429833,0.0,33.0,321.0,0.0,349.0,257.0,51.0,0.0,41.0,491.0,495.0,514.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,64,1030.0,1500.0,22.330097087378643,1.3592233009708738,0.0,32.266666666666666,57.0,0.0,14.0,322.0,372.0,230.0,35.0,484.0,484.0,532.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,65,935.0,1500.0,26.737967914438503,0.10695187165775401,0.0,33.86666666666667,49.0,0.0,1.0,193.0,414.0,250.0,28.0,473.0,508.0,519.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,66,963.0,1500.0,0.4153686396677051,34.890965732087224,0.0,33.53333333333333,296.0,0.0,336.0,222.0,71.0,4.0,34.0,495.0,503.0,502.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,67,1136.0,1500.0,7.482394366197183,9.419014084507042,0.0,33.4,197.0,0.0,107.0,433.0,287.0,85.0,27.0,491.0,501.0,508.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,68,984.0,1500.0,0.10162601626016261,35.670731707317074,0.0,32.86666666666667,331.0,0.0,351.0,240.0,35.0,1.0,26.0,522.0,493.0,485.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,69,928.0,1500.0,0.3232758620689655,35.021551724137936,0.0,32.266666666666666,329.0,0.0,325.0,183.0,53.0,3.0,35.0,521.0,484.0,495.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,70,1039.0,1500.0,21.751684311838307,1.9249278152069296,0.0962463907603465,32.0,47.0,1.0,20.0,350.0,361.0,226.0,34.0,491.0,480.0,529.0,2.037872954566788,vulnerable
