source_file,source_path,data_group,condition,run,behavior,behavior_column,denominator_type,behavior_count,total_actions,percent_of_total_actions
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,9,Misdirected Aggression,bully_behavior,total_complex_behaviors,492.0,1272.0,38.67924528301887
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,9,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,364.0,1272.0,28.61635220125786
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,9,Learned Helplessness,learned_helplessness,total_complex_behaviors,283.0,1272.0,22.248427672955977
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,9,Negative Expectancy Bias,cynical,total_expectancies,457.0,1199.0,38.11509591326105
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,10,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,1042.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,10,Dangerous Trust,dangerous_trust,total_complex_behaviors,32.0,1042.0,3.071017274472169
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,10,Misdirected Aggression,bully_behavior,total_complex_behaviors,246.0,1042.0,23.608445297504797
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,10,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,92.0,1042.0,8.829174664107486
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,10,Learned Helplessness,learned_helplessness,total_complex_behaviors,31.0,1042.0,2.9750479846449136
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,10,Negative Expectancy Bias,cynical,total_expectancies,226.0,1199.0,18.84904086738949
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,11,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,1.0,1401.0,0.07137758743754462
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,11,Dangerous Trust,dangerous_trust,total_complex_behaviors,23.0,1401.0,1.641684511063526
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,11,Misdirected Aggression,bully_behavior,total_complex_behaviors,642.0,1401.0,45.82441113490364
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,11,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,385.0,1401.0,27.480371163454677
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,11,Learned Helplessness,learned_helplessness,total_complex_behaviors,271.0,1401.0,19.34332619557459
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,11,Negative Expectancy Bias,cynical,total_expectancies,479.0,1217.0,39.35907970419063
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,12,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,1005.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,12,Dangerous Trust,dangerous_trust,total_complex_behaviors,32.0,1005.0,3.1840796019900495
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,12,Misdirected Aggression,bully_behavior,total_complex_behaviors,271.0,1005.0,26.965174129353237
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,12,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,31.0,1005.0,3.084577114427861
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,12,Learned Helplessness,learned_helplessness,total_complex_behaviors,0.0,1005.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,12,Negative Expectancy Bias,cynical,total_expectancies,195.0,1204.0,16.196013289036546
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,13,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,1026.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,13,Dangerous Trust,dangerous_trust,total_complex_behaviors,41.0,1026.0,3.996101364522417
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,13,Misdirected Aggression,bully_behavior,total_complex_behaviors,269.0,1026.0,26.218323586744642
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,13,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,5.0,1026.0,0.4873294346978557
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,13,Learned Helplessness,learned_helplessness,total_complex_behaviors,41.0,1026.0,3.996101364522417
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,13,Negative Expectancy Bias,cynical,total_expectancies,249.0,1206.0,20.64676616915423
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,14,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,1218.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,14,Dangerous Trust,dangerous_trust,total_complex_behaviors,41.0,1218.0,3.3661740558292284
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,14,Misdirected Aggression,bully_behavior,total_complex_behaviors,483.0,1218.0,39.6551724137931
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,14,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,300.0,1218.0,24.63054187192118
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,14,Learned Helplessness,learned_helplessness,total_complex_behaviors,192.0,1218.0,15.763546798029557
