source_file,source_path,run,total_complex_behaviors,learned_helplessness_pct,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,91,1475.0,18.508474576271187,28.0,0.0,1.0,735.0,414.0,273.0,24.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,92,939.0,25.66560170394036,52.0,0.0,14.0,194.0,409.0,241.0,29.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,93,1034.0,0.2901353965183753,305.0,0.0,399.0,267.0,21.0,3.0,39.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,94,883.0,28.765571913929783,42.0,0.0,4.0,189.0,381.0,254.0,13.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,95,1096.0,24.635036496350367,75.0,0.0,16.0,350.0,356.0,270.0,29.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,96,996.0,25.301204819277107,49.0,0.0,9.0,251.0,401.0,252.0,34.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,97,772.0,28.10880829015544,35.0,0.0,323.0,78.0,86.0,217.0,33.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,98,935.0,27.593582887700535,50.0,0.0,0.0,200.0,399.0,258.0,28.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,99,944.0,26.906779661016948,37.0,0.0,5.0,232.0,394.0,254.0,22.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,100,1076.0,22.676579925650557,52.0,0.0,32.0,366.0,354.0,244.0,28.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,101,917.0,1.7448200654307526,302.0,0.0,296.0,195.0,70.0,16.0,38.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,102,973.0,0.0,281.0,0.0,389.0,259.0,19.0,0.0,25.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,103,1144.0,19.318181818181817,90.0,0.0,99.0,438.0,264.0,221.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,104,1153.0,20.294882914137034,82.0,0.0,1.0,404.0,410.0,234.0,22.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,105,955.0,21.047120418848166,53.0,0.0,7.0,262.0,399.0,201.0,33.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,106,1011.0,19.188921859545005,86.0,0.0,7.0,281.0,406.0,194.0,37.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,107,923.0,1.0834236186348862,290.0,0.0,369.0,180.0,35.0,10.0,39.0,resilient
