Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
75,554,138,430,306,72,477,468,555,254,0,0,13,0,0,0,75,18,118,214,282,280,37,88,938,254
76,385,91,111,607,68,477,510,513,241,238,0,2,0,0,0,388,27,16,268,56,16,28,37,732,241
77,431,100,105,577,60,476,498,526,258,227,0,0,0,0,0,391,31,8,325,35,16,31,35,721,258
78,601,105,160,375,66,477,508,515,189,193,0,1,1,0,0,374,41,16,475,60,36,22,55,815,189
79,316,82,113,669,65,463,488,549,219,255,0,0,0,0,0,389,19,5,227,39,9,38,47,732,219
80,676,100,415,232,76,479,504,517,183,1,0,16,0,0,0,110,29,62,323,286,302,31,63,1014,183
81,564,272,464,130,64,491,499,510,247,6,0,0,0,1,0,80,15,102,187,311,321,29,67,934,247
82,834,82,116,127,67,508,492,500,188,274,0,0,1,0,0,391,24,95,641,40,7,31,45,745,188
83,837,95,92,158,64,481,497,522,245,254,0,0,0,0,0,385,29,131,610,38,0,28,32,696,245
84,678,147,471,139,65,487,467,546,208,0,0,0,0,0,0,39,19,90,288,310,349,32,63,1012,208
85,689,117,459,115,68,503,510,487,339,52,0,0,0,0,0,96,47,242,353,220,311,29,95,799,339
86,885,103,107,101,71,475,518,507,195,233,0,0,0,4,0,406,18,96,693,48,10,37,44,777,195
87,513,90,471,364,61,491,507,502,270,1,0,10,0,2,0,86,15,146,187,279,328,37,80,943,270
88,378,92,88,623,71,483,492,525,230,248,0,0,0,0,0,393,28,6,275,53,0,29,30,726,230
89,528,88,116,500,73,485,500,515,235,195,0,2,0,0,0,383,37,24,384,85,13,37,43,777,235
90,450,155,105,482,70,509,466,525,229,238,0,0,0,1,0,370,49,3,339,46,1,21,31,721,229
91,332,79,100,663,56,515,504,481,224,270,0,3,0,0,0,413,15,9,226,60,0,40,41,725,224
92,481,69,80,584,66,486,515,499,224,220,0,4,0,0,0,411,24,14,334,80,0,27,28,771,224
93,651,70,438,279,62,458,503,539,183,0,0,12,0,0,0,104,14,101,298,285,298,28,70,1012,183
94,403,107,109,565,61,488,494,518,246,255,0,0,0,0,0,383,19,1,296,48,12,30,33,699,246
95,690,120,503,132,55,505,503,492,285,0,0,0,0,0,0,26,16,172,227,335,376,27,55,924,285
96,531,279,242,132,66,500,486,514,174,250,0,0,0,1,0,268,44,5,426,44,110,34,70,768,174
97,665,92,527,138,63,481,505,514,294,15,0,0,0,0,0,12,17,221,228,304,387,29,65,879,294
98,691,86,253,359,70,495,467,538,261,41,0,37,0,0,0,244,27,142,380,242,131,36,65,899,261
99,766,99,174,158,76,489,507,504,213,227,0,0,0,0,0,342,36,91,567,50,65,24,50,770,213
100,589,94,450,306,59,513,473,514,198,2,0,0,0,0,0,63,19,80,214,319,317,35,86,999,198
101,743,187,150,157,73,476,508,516,268,190,0,0,0,2,0,351,25,83,566,93,49,32,38,741,268
102,653,105,270,321,65,479,495,526,272,86,0,17,0,0,0,241,46,133,410,184,161,35,56,868,272
103,588,218,509,129,56,485,493,522,212,0,0,0,0,0,0,15,13,88,210,319,379,32,64,992,212
104,473,98,144,489,67,501,462,537,215,229,0,5,0,0,0,330,32,39,326,88,28,19,38,743,215
105,485,194,132,380,70,487,504,509,289,239,0,0,1,0,0,370,39,15,357,59,37,21,40,664,289
106,399,82,90,631,60,485,498,517,261,238,0,1,0,0,0,395,17,21,251,60,0,30,39,702,261
107,462,86,118,547,62,496,485,519,216,225,0,1,0,0,0,369,19,24,308,80,17,18,34,745,216
108,565,274,506,88,67,497,509,494,129,0,0,0,0,0,0,23,15,24,179,316,388,28,52,1054,129
109,456,284,527,152,68,494,487,519,263,13,0,0,0,0,0,17,12,83,118,274,374,39,95,924,263
110,847,90,147,111,67,513,487,500,219,238,0,0,0,0,0,353,23,147,606,74,40,23,43,731,219
111,612,82,487,257,62,495,489,516,202,0,0,0,0,1,0,24,18,99,229,314,364,42,70,992,202
112,810,96,122,120,65,520,471,509,152,287,0,0,0,0,0,339,10,92,615,48,20,40,44,749,152
113,890,86,91,103,60,504,490,506,220,270,0,0,0,0,0,392,18,143,624,54,1,25,35,711,220
114,642,127,451,199,59,523,491,486,205,22,0,0,0,0,0,76,25,76,287,297,319,34,68,978,205
115,377,83,98,623,67,488,503,509,276,252,0,0,0,0,0,388,11,3,256,64,4,28,31,665,276
116,576,219,510,123,72,473,498,529,183,0,0,0,0,0,0,22,9,48,191,307,378,36,75,1013,183
117,780,96,205,103,67,512,495,493,188,249,0,0,0,0,0,336,23,69,607,63,61,33,89,755,188
118,338,102,109,646,63,482,498,520,242,242,0,0,0,0,0,385,42,0,228,49,5,34,41,717,242
119,469,98,108,486,67,499,484,517,211,272,0,0,0,1,0,376,26,8,373,46,6,24,42,715,211
120,466,86,100,528,67,496,523,481,305,253,0,1,0,0,0,416,16,32,321,57,0,40,48,635,305
121,612,114,396,312,66,482,510,508,195,0,0,29,0,0,0,138,16,120,247,311,273,32,71,1006,195
122,691,182,475,90,62,459,477,564,190,0,0,0,0,0,0,25,13,82,299,298,365,33,56,1045,190
123,505,114,459,346,71,495,505,500,176,5,0,28,0,2,0,71,25,76,154,289,335,43,77,1030,176
124,587,103,439,266,70,489,496,515,171,35,0,3,0,0,0,105,24,71,270,279,293,29,77,999,171
