Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_LowThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
95,67,350,478,509,96,15,287,417,446,34,499,511,490,137,0,0,39,28,19,0,32,274,3,8,4,359,33,58,1062,137
96,81,77,429,527,386,20,9,383,468,316,489,487,524,79,0,0,23,221,43,0,2,8,6,1,19,336,20,47,1117,79
97,79,78,232,801,310,7,19,177,739,255,518,494,488,207,0,0,18,22,235,0,21,10,2,5,1,145,14,32,990,207
98,87,75,264,533,541,28,25,220,472,472,513,492,495,192,0,0,31,216,187,0,11,20,9,3,25,187,13,33,1025,192
99,61,284,430,455,270,7,220,366,394,201,465,526,509,135,0,0,13,125,105,0,4,145,1,4,2,320,12,46,1053,135
100,173,120,416,657,134,122,74,343,596,66,511,509,480,110,0,0,101,22,64,0,37,52,58,10,106,296,47,47,1091,110
101,66,152,425,562,295,14,89,361,503,242,490,505,505,121,0,0,19,145,56,0,15,88,3,4,8,334,14,27,1088,121
102,72,247,283,493,405,2,184,231,439,344,482,505,513,179,0,0,13,141,170,0,9,173,0,0,2,222,2,9,1021,179
103,91,296,571,94,448,33,245,506,39,397,506,483,511,260,0,0,0,77,7,0,11,226,7,21,6,368,85,138,960,260
104,89,162,287,507,455,17,103,222,458,396,498,464,538,127,0,0,30,254,135,0,19,30,4,2,14,212,10,10,1069,127
105,68,396,125,567,344,2,343,71,514,275,483,500,517,230,0,0,16,18,309,0,20,283,0,0,2,71,0,0,975,230
106,74,366,208,472,380,17,293,147,405,327,521,493,486,152,0,0,23,55,262,0,4,291,5,2,14,109,22,38,1037,152
107,53,108,228,507,604,1,40,164,450,539,471,510,519,230,0,0,11,221,256,0,2,37,0,0,1,149,8,15,964,230
108,77,952,196,199,76,3,894,128,147,12,522,480,498,187,0,0,12,3,277,0,12,358,0,0,3,80,20,48,997,187
109,71,614,231,448,136,9,553,164,385,89,506,495,499,173,0,0,13,49,276,0,1,307,0,3,6,130,6,34,1027,173
110,71,107,196,791,335,16,47,134,720,275,499,480,521,179,0,0,25,37,238,0,34,37,8,1,11,115,10,19,1013,179
111,65,641,487,107,200,1,581,414,46,151,521,472,507,147,0,0,1,99,31,0,5,244,0,0,1,351,27,63,1046,147
112,106,441,268,413,272,36,387,196,344,220,486,519,495,176,0,0,27,122,177,0,41,165,18,13,7,175,10,21,1007,176
113,80,452,444,405,119,19,395,396,344,51,486,499,515,86,0,0,7,23,87,0,12,32,5,10,4,307,39,89,1119,86
114,79,359,392,487,183,13,302,332,431,137,494,499,507,126,0,0,24,92,80,0,18,231,2,9,2,305,11,27,1089,126
115,69,123,489,561,258,25,66,428,496,187,502,509,489,45,0,0,26,48,142,0,25,34,3,12,12,243,183,185,1157,45
116,59,343,470,486,142,13,280,396,435,86,512,475,513,121,0,0,24,16,72,0,5,260,2,4,9,314,68,82,1089,121
117,132,144,511,541,172,78,100,440,480,124,477,487,536,79,0,0,71,89,29,0,21,74,36,2,76,342,83,98,1143,79
118,89,628,491,170,122,25,575,442,111,45,490,531,479,116,0,0,0,15,59,0,10,230,1,22,2,355,41,87,1082,116
119,79,730,368,258,65,9,666,299,193,15,482,479,539,167,0,0,23,14,86,0,17,314,0,3,6,279,7,20,1015,167
120,215,648,464,67,106,154,597,400,2,62,501,477,522,228,0,0,0,38,74,0,1,183,72,8,144,301,42,99,987,228
121,91,247,373,524,265,36,180,320,455,204,484,489,527,92,0,0,43,114,73,0,16,142,21,2,33,290,30,30,1103,92
122,68,356,163,550,363,14,293,107,487,306,490,510,500,191,0,0,17,24,289,0,23,277,1,3,10,98,8,9,1016,191
123,73,900,136,294,97,23,839,71,239,43,490,482,528,203,0,0,13,11,285,0,42,293,6,6,12,61,7,10,1012,203
124,84,358,411,501,146,17,307,363,438,77,507,491,502,138,0,0,17,27,51,0,14,296,9,2,14,325,15,38,1064,138
125,73,543,315,303,266,10,483,253,231,211,514,503,483,131,0,0,21,106,133,0,20,217,5,2,4,247,6,6,1057,131
126,64,304,510,347,275,10,245,438,292,220,510,504,486,140,0,0,27,50,128,0,20,140,2,4,4,244,194,194,1065,140
127,103,465,334,526,72,49,403,272,459,9,504,473,523,99,0,0,53,8,93,0,31,311,18,16,23,254,7,18,1093,99
128,160,177,456,552,155,97,113,400,505,82,474,519,507,103,0,0,87,46,120,0,14,14,55,4,93,301,85,99,1094,103
129,60,369,299,343,429,13,304,246,290,361,529,494,477,178,0,0,6,118,211,0,11,203,0,8,5,177,34,69,1036,178
130,74,277,369,522,258,16,232,309,457,200,478,479,543,134,0,0,31,105,91,0,12,225,2,4,11,288,9,21,1080,134
131,70,370,148,534,378,9,314,97,467,318,483,495,522,196,0,0,20,37,292,0,32,293,0,6,3,84,12,13,1009,196
132,127,166,164,550,493,70,109,104,482,430,485,505,510,138,0,0,56,176,239,0,61,67,27,22,28,104,0,0,1057,138
133,64,112,252,538,534,11,57,198,470,478,513,489,498,140,0,0,20,232,190,0,26,41,2,2,8,188,10,10,1074,140
134,80,406,270,470,274,10,347,214,408,202,470,512,518,194,0,0,17,18,208,0,12,298,0,2,8,175,21,39,987,194
135,72,353,153,549,373,9,296,84,495,315,498,472,530,337,0,0,24,229,269,0,25,41,1,4,4,79,5,5,862,337
136,86,453,317,534,110,13,396,248,474,57,467,519,514,105,0,0,26,43,152,0,20,235,4,2,10,234,14,14,1083,105
137,119,291,284,563,243,52,235,226,503,184,498,481,521,160,0,0,63,81,148,0,12,148,25,1,51,222,3,4,1040,160
138,58,551,479,102,310,14,494,415,35,256,514,462,524,128,0,0,1,199,28,0,0,156,4,2,11,347,27,68,1086,128
139,61,215,218,506,500,5,159,161,449,439,515,483,502,174,0,0,18,163,246,0,31,128,0,5,0,124,16,37,1039,174
140,73,330,345,504,248,20,258,293,448,185,495,487,518,150,0,0,28,67,115,0,20,206,7,0,20,252,10,41,1054,150
141,63,485,182,498,272,4,424,118,443,218,482,502,516,148,0,0,10,64,320,0,12,247,2,0,3,73,17,45,1059,148
142,89,188,326,640,257,15,117,267,588,205,502,484,514,131,0,0,78,141,41,0,101,92,2,5,10,256,11,11,1061,131
143,75,597,307,442,79,14,532,246,386,29,500,506,494,139,0,0,24,24,183,0,6,314,2,4,9,216,25,30,1068,139
144,67,467,282,395,289,12,403,236,319,236,477,514,509,198,0,0,19,83,172,0,11,230,1,3,8,231,3,5,1008,198
