Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
74,300,313,290,308,289,484,478,538,355,0,0,5,52,187,0,205,102,0,198,102,86,85,204,1145,355
75,305,300,318,289,288,497,506,497,307,0,0,40,52,207,0,189,83,3,192,110,110,100,208,1193,307
76,264,284,296,344,312,503,491,506,395,0,0,0,50,192,0,199,102,5,171,88,100,106,196,1105,395
77,318,311,282,323,266,506,512,482,346,0,0,4,40,204,0,220,100,10,191,118,88,98,194,1154,346
78,318,320,300,276,286,508,499,493,312,0,0,33,52,198,0,199,107,0,206,112,102,98,198,1188,312
79,284,310,298,276,332,481,521,498,329,0,0,5,54,236,0,208,91,0,196,88,77,113,221,1171,329
80,314,294,292,296,304,490,516,494,357,0,0,0,42,190,0,219,101,6,203,106,107,92,185,1143,357
81,281,298,326,322,273,505,502,493,355,0,0,24,43,185,0,200,112,0,199,82,117,110,209,1145,355
82,310,247,310,314,319,472,493,535,356,0,0,0,43,184,0,202,88,6,211,93,107,95,203,1144,356
83,302,307,267,312,312,474,497,529,333,0,0,18,52,197,0,218,97,2,203,98,82,80,185,1167,333
84,311,317,297,277,298,501,517,482,326,0,0,13,49,222,0,213,108,1,212,98,82,113,215,1174,326
85,293,309,313,309,276,487,506,507,410,0,0,0,36,197,0,212,101,0,205,88,97,115,216,1090,410
86,308,259,299,331,303,499,502,499,332,0,0,24,56,195,0,200,82,5,198,106,107,94,192,1168,332
87,295,293,306,298,308,481,519,500,390,0,0,0,46,188,0,222,95,2,201,94,109,102,197,1110,390
88,296,299,289,305,311,491,501,508,344,0,0,29,55,215,0,193,91,2,195,99,93,90,196,1156,344
89,288,320,300,335,257,476,509,515,383,0,0,1,48,201,0,206,103,2,206,81,102,87,198,1117,383
90,291,312,291,331,275,466,495,539,320,0,0,20,39,207,0,200,94,5,191,98,88,96,203,1180,320
91,303,291,322,276,308,495,482,523,310,0,0,21,54,194,0,192,95,0,199,104,96,102,226,1190,310
92,311,272,321,310,286,488,532,480,362,0,0,0,50,199,0,221,87,4,215,93,112,112,209,1138,362
93,307,299,301,267,326,498,505,497,369,0,0,0,61,205,0,199,91,1,207,99,101,103,200,1131,369
94,274,330,303,287,306,494,482,524,373,0,0,0,52,182,0,195,113,0,188,86,105,105,198,1127,373
95,313,300,290,292,305,528,482,490,366,0,0,0,51,186,0,210,103,5,217,91,86,122,204,1134,366
96,307,312,280,312,289,491,487,522,393,0,0,0,54,194,0,206,105,4,206,99,87,103,193,1107,393
97,303,296,316,293,292,482,478,540,323,0,0,22,55,199,0,178,85,0,209,94,101,92,215,1177,323
98,304,313,296,308,279,494,508,498,310,0,0,21,49,189,0,208,99,1,200,103,111,94,185,1190,310
99,318,313,290,276,303,481,510,509,377,0,0,0,47,199,0,210,103,4,211,105,101,86,189,1123,377
100,281,278,310,314,317,518,462,520,339,0,0,11,51,190,0,174,99,4,177,101,98,100,212,1161,339
101,294,320,301,306,279,491,495,514,369,0,0,31,43,209,0,192,108,8,195,91,94,100,207,1131,369
102,292,303,300,321,284,492,512,496,333,0,0,20,49,195,0,222,92,4,186,102,95,103,205,1167,333
103,325,293,287,289,306,487,521,492,358,0,0,0,47,207,0,211,90,4,227,94,103,97,184,1142,358
104,287,314,293,317,289,542,456,502,354,0,0,1,59,167,0,179,111,0,169,118,110,90,183,1146,354
105,276,305,300,311,308,473,501,526,361,0,0,0,44,189,0,200,98,4,181,91,112,90,188,1139,361
106,304,294,293,316,293,507,470,523,320,0,0,27,45,181,0,186,98,5,197,106,103,92,190,1180,320
107,283,307,321,267,322,520,481,499,335,0,0,22,46,217,0,177,102,1,168,114,87,121,234,1165,335
108,293,302,321,283,301,514,490,496,378,0,0,5,53,191,0,189,101,0,180,113,110,101,211,1122,378
109,343,258,287,308,304,538,459,503,338,0,0,4,57,170,0,185,108,9,218,116,104,85,183,1162,338
110,284,288,287,324,317,458,502,540,372,0,0,0,35,198,0,216,106,3,202,79,88,95,199,1128,372
111,297,324,312,279,288,462,504,534,305,0,0,29,47,194,0,213,101,1,220,76,97,110,215,1195,305
112,321,296,300,303,280,519,476,505,302,0,0,19,50,193,0,184,96,5,209,107,99,94,201,1198,302
113,303,298,317,301,281,492,519,489,331,0,0,21,41,190,0,213,109,4,208,91,116,104,201,1169,331
114,303,304,292,308,293,478,495,527,317,0,0,30,53,193,0,209,92,4,201,98,93,89,199,1183,317
115,299,326,302,284,289,504,495,501,346,0,0,17,51,202,0,196,104,2,201,96,97,102,205,1154,346
116,320,315,293,297,275,509,508,483,337,0,0,17,44,201,0,206,109,1,209,110,101,96,192,1163,337
117,308,316,286,305,285,507,472,521,350,0,0,29,48,179,0,190,125,4,200,106,103,85,183,1150,350
118,300,326,305,283,286,460,499,541,380,0,0,0,46,208,0,191,112,4,204,92,100,91,205,1120,380
119,320,301,292,285,302,484,499,517,329,0,0,22,48,199,0,193,95,0,216,104,107,100,185,1171,329
