Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,largerun_db_highthreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
100,478,100,138,476,64,426,40,67,420,3,492,495,513,213,244,0,1,0,0,0,354,40,22,366,52,32,28,35,743,213
101,553,122,448,294,67,498,54,397,224,6,525,465,510,213,16,0,17,0,0,0,70,41,99,195,302,296,38,101,966,213
102,591,99,532,225,53,541,51,463,155,7,482,491,527,169,0,0,0,0,0,0,19,49,57,259,281,389,25,74,1048,169
103,592,270,213,139,65,530,212,142,72,7,545,458,497,208,221,0,0,0,0,0,264,49,56,438,90,99,32,43,755,208
104,534,88,83,493,68,486,28,23,431,0,489,508,503,224,234,0,4,0,0,0,410,28,13,404,82,1,22,22,744,224
105,384,94,107,646,68,316,27,53,584,24,446,508,546,264,201,0,0,0,0,0,399,26,3,262,53,7,33,46,740,264
106,429,100,96,612,69,367,37,51,556,4,470,502,528,239,194,0,3,0,0,0,406,18,15,281,86,7,37,44,776,239
107,546,169,491,218,66,482,111,436,165,8,497,502,501,257,10,0,4,0,0,0,35,25,78,180,290,369,39,67,945,257
108,579,229,544,88,60,524,170,485,34,1,488,511,501,210,0,0,0,0,1,0,14,12,92,194,304,401,42,84,1004,210
109,475,89,114,487,71,409,26,49,442,6,501,485,514,194,264,0,0,0,0,0,376,26,0,378,31,16,32,33,738,194
110,415,92,84,612,62,355,28,32,545,9,491,489,520,226,235,0,5,0,0,0,397,19,8,280,75,0,32,32,743,226
111,429,89,90,589,67,368,21,34,530,12,477,506,517,232,236,0,0,0,3,0,405,18,8,315,49,5,26,29,733,232
112,426,95,100,573,60,366,13,54,513,4,490,489,521,238,246,0,0,0,1,0,394,9,5,302,62,9,24,45,712,238
113,288,82,113,654,79,229,33,54,601,0,520,461,519,226,284,0,0,0,0,0,379,32,2,180,49,1,22,53,691,226
114,656,93,263,293,62,604,28,202,228,1,498,489,513,285,133,0,0,0,0,0,267,27,114,432,164,126,34,76,778,285
115,477,124,106,494,65,417,66,59,445,6,508,479,513,227,234,0,0,0,1,0,378,52,1,366,51,22,34,37,766,227
116,603,229,495,117,55,545,164,427,65,11,494,505,501,226,1,0,0,0,0,0,50,21,66,255,284,355,40,72,986,226
117,416,90,105,546,67,358,30,33,486,6,488,497,515,219,276,0,0,0,0,0,384,30,1,333,25,3,26,30,694,219
118,535,184,453,274,54,476,122,390,217,6,492,488,520,248,0,0,15,0,0,0,71,16,116,171,305,315,30,75,963,248
119,619,85,410,311,66,544,33,341,266,0,459,486,555,174,9,0,9,0,0,0,110,32,42,302,240,273,36,68,1010,174
120,620,202,515,99,64,554,140,454,53,0,504,506,490,172,0,0,0,0,1,0,21,13,81,211,335,377,28,77,1029,172
121,451,80,87,514,66,394,29,26,461,0,513,490,497,206,302,0,0,0,0,0,396,23,2,350,42,2,18,24,704,206
122,312,97,117,655,63,244,30,50,600,12,465,492,543,209,256,0,0,0,0,0,371,11,7,202,36,15,22,35,727,209
123,333,88,94,631,69,265,15,25,582,0,505,470,525,225,285,0,0,0,1,0,366,14,5,227,38,0,22,25,662,225
124,852,94,116,92,66,792,46,61,33,0,506,480,514,244,280,0,0,0,0,0,366,18,135,611,53,13,37,48,688,244
125,297,78,90,699,76,230,21,22,645,11,489,474,537,285,260,0,0,0,0,0,380,21,8,189,40,0,22,22,644,285
126,659,92,434,240,70,607,24,378,178,3,496,470,534,215,5,0,10,0,0,0,84,24,101,283,292,298,40,80,975,215
127,699,104,417,220,60,633,52,344,159,11,463,518,519,138,0,0,13,0,0,0,125,34,43,372,261,300,20,44,1061,138
128,703,79,244,331,67,633,29,180,266,5,508,490,502,331,76,0,32,0,0,0,248,29,174,396,223,135,32,45,782,331
