Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
51,305,317,272,286,320,305,317,272,286,320,508,478,514,474,0,0,58,97,193,0,198,108,176,90,94,87,92,185,1026,474
52,304,299,300,289,308,304,299,300,289,308,484,487,529,589,0,0,13,63,198,0,196,99,206,62,107,93,97,207,911,589
53,263,307,333,313,284,263,307,333,313,284,471,503,526,440,0,0,39,63,214,0,182,89,165,50,97,107,108,226,1060,440
54,313,302,283,310,292,313,302,283,310,292,499,492,509,483,0,0,36,61,196,0,194,105,177,89,119,102,87,181,1017,483
55,311,286,330,276,297,311,286,330,276,297,479,476,545,498,0,0,41,74,184,0,185,97,209,69,100,107,100,223,1002,498
56,276,305,302,327,290,276,305,302,327,290,480,523,497,438,0,0,33,62,213,0,191,95,144,88,89,119,85,183,1062,438
57,332,284,330,301,253,332,284,330,301,253,512,486,502,518,0,0,46,56,190,0,202,97,234,65,109,94,112,236,982,518
58,307,293,315,286,299,307,293,315,286,299,472,501,527,538,0,0,46,67,212,0,192,85,195,81,118,97,98,218,962,538
59,302,292,291,292,323,302,292,291,292,323,474,478,548,585,0,0,13,76,199,0,184,99,209,66,94,95,92,196,915,585
60,290,306,297,303,304,290,306,297,303,304,511,487,502,498,0,0,49,75,212,0,197,93,211,66,101,78,111,219,1002,498
61,315,284,271,330,300,315,284,271,330,300,507,494,499,526,0,0,50,67,194,0,208,93,188,98,99,92,98,179,974,526
62,312,317,275,295,301,312,317,275,295,301,503,514,483,523,0,0,38,69,201,0,220,107,199,69,108,93,95,182,977,523
63,316,308,274,308,294,316,308,274,308,294,483,491,526,467,0,0,48,77,186,0,211,98,190,90,103,94,86,180,1033,467
64,290,263,322,330,295,290,263,322,330,295,491,504,505,532,0,0,51,78,175,0,223,92,202,70,82,106,107,216,968,532
65,294,314,298,297,297,294,314,298,297,297,512,515,473,511,0,0,53,69,202,0,220,114,192,77,108,93,110,205,989,511
66,279,308,320,291,302,279,308,320,291,302,500,504,496,521,0,0,29,66,205,0,176,113,190,57,102,123,89,197,979,521
67,302,290,300,303,305,302,290,300,303,305,488,469,543,662,0,0,1,78,191,0,187,95,252,40,104,91,90,209,838,662
68,308,284,279,303,326,308,284,279,303,326,497,506,497,484,0,0,63,94,203,0,204,86,182,91,105,99,91,180,1016,484
69,294,289,302,286,329,294,289,302,286,329,494,497,509,465,0,0,50,79,205,0,191,99,154,96,96,101,107,201,1035,465
