source_file,source_path,condition,run,behavior_key,behavior,behavior_count,total_actions,behavior_percent,threshold_percent,present
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,11,protective_behavior,Protective Behavior,44.0,2347.0,1.8747337025990625,7.091133199926835,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,11,healthy_friendliness,Healthy Friendliness,4.0,2347.0,0.17043033659991477,14.57509021484314,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,11,willingness_to_flee,Adaptive Avoidance,31.0,2347.0,1.3208351086493395,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,11,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2347.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,11,hopefulness,Positive Expectancy,738.0,1217.0,60.640920295809366,88.61700772779747,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,12,protective_behavior,Protective Behavior,315.0,2209.0,14.259846084200998,7.091133199926835,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,12,healthy_friendliness,Healthy Friendliness,341.0,2209.0,15.436849253055682,14.57509021484314,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,12,willingness_to_flee,Adaptive Avoidance,15.0,2209.0,0.6790402897238569,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,12,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2209.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,12,hopefulness,Positive Expectancy,1009.0,1204.0,83.80398671096346,88.61700772779747,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,13,protective_behavior,Protective Behavior,286.0,2191.0,13.053400273847556,7.091133199926835,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,13,healthy_friendliness,Healthy Friendliness,369.0,2191.0,16.841624828845276,14.57509021484314,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,13,willingness_to_flee,Adaptive Avoidance,15.0,2191.0,0.6846188954815152,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,13,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2191.0,0.0,3.2508742608217043,0
