cry,flee,d,dominance_ratio,cry_dominant,flee_dominant,dominance_state
7,329,-322,-0.9583333333048115,,329.0,flee_dominant
10,334,-324,-0.9418604650888994,,334.0,flee_dominant
7,340,-333,-0.9596541786466958,,340.0,flee_dominant
95,187,-92,-0.3262411347402042,,187.0,flee_dominant
116,176,-60,-0.20547945204775755,,176.0,flee_dominant
14,339,-325,-0.9206798866594708,,339.0,flee_dominant
16,364,-348,-0.9157894736601108,,364.0,flee_dominant
8,317,-309,-0.9507692307399763,,317.0,flee_dominant
12,307,-295,-0.9247648902531421,,307.0,flee_dominant
25,308,-283,-0.8498498498243288,,308.0,flee_dominant
169,23,146,0.7604166666270616,169.0,,cry_dominant
7,303,-296,-0.9548387096466181,,303.0,flee_dominant
181,31,150,0.7075471697779459,181.0,,cry_dominant
171,2,169,0.976878612660296,171.0,,cry_dominant
49,287,-238,-0.708333333312252,,287.0,flee_dominant
9,362,-353,-0.9514824797587201,,362.0,flee_dominant
14,329,-315,-0.918367346912001,,329.0,flee_dominant
8,325,-317,-0.9519519519233648,,325.0,flee_dominant
24,273,-249,-0.8383838383556099,,273.0,flee_dominant
167,14,153,0.845303867356613,167.0,,cry_dominant
30,282,-252,-0.8076923076664201,,282.0,flee_dominant
9,332,-323,-0.9472140762185568,,332.0,flee_dominant
108,163,-55,-0.2029520295128062,,163.0,flee_dominant
7,340,-333,-0.9596541786466958,,340.0,flee_dominant
168,12,156,0.8666666666185184,168.0,,cry_dominant
14,343,-329,-0.9215686274251661,,343.0,flee_dominant
167,24,143,0.7486910994372413,167.0,,cry_dominant
35,255,-220,-0.7586206896290131,,255.0,flee_dominant
29,270,-241,-0.8060200668626749,,270.0,flee_dominant
32,291,-259,-0.8018575851144936,,291.0,flee_dominant
14,311,-297,-0.9138461538180355,,311.0,flee_dominant
30,298,-268,-0.8170731707067965,,298.0,flee_dominant
4,330,-326,-0.9760479041623937,,330.0,flee_dominant
171,20,151,0.790575916188975,171.0,,cry_dominant
18,308,-290,-0.8895705521199518,,308.0,flee_dominant
34,309,-275,-0.8017492711136516,,309.0,flee_dominant
11,368,-357,-0.9419525065714525,,368.0,flee_dominant
163,54,109,0.5023041474422901,163.0,,cry_dominant
15,361,-346,-0.9202127659329731,,361.0,flee_dominant
19,315,-296,-0.8862275448836459,,315.0,flee_dominant
72,201,-129,-0.4725274725101638,,201.0,flee_dominant
14,309,-295,-0.9133126934701761,,309.0,flee_dominant
22,319,-297,-0.8709677419099423,,319.0,flee_dominant
9,365,-356,-0.9518716577285595,,365.0,flee_dominant
6,363,-357,-0.967479674770529,,363.0,flee_dominant
21,343,-322,-0.884615384591082,,343.0,flee_dominant
41,275,-234,-0.7405063290904903,,275.0,flee_dominant
6,345,-339,-0.9658119657844498,,345.0,flee_dominant
