cry,flee,d,dominance_ratio,cry_dominant,flee_dominant,dominance_state
106,172,-66,-0.23741007193390612,,172.0,flee_dominant
10,128,-118,-0.8550724637061541,,128.0,flee_dominant
19,149,-130,-0.7738095237634637,,149.0,flee_dominant
5,341,-336,-0.9710982658678873,,341.0,flee_dominant
182,112,70,0.23809523808713962,182.0,,cry_dominant
25,320,-295,-0.8550724637433312,,320.0,flee_dominant
98,220,-122,-0.383647798730074,,220.0,flee_dominant
215,86,129,0.4285714285571903,215.0,,cry_dominant
236,40,196,0.710144927510502,236.0,,cry_dominant
172,15,157,0.839572192468472,172.0,,cry_dominant
18,299,-281,-0.8864353312023207,,299.0,flee_dominant
144,201,-57,-0.16521739129955892,,201.0,flee_dominant
169,122,47,0.1615120274858587,169.0,,cry_dominant
79,206,-127,-0.4456140350720837,,206.0,flee_dominant
47,214,-167,-0.639846743270504,,214.0,flee_dominant
185,22,163,0.7874396134885294,185.0,,cry_dominant
19,353,-334,-0.8978494623414557,,353.0,flee_dominant
167,33,134,0.6699999999665,167.0,,cry_dominant
192,17,175,0.8373205741226162,192.0,,cry_dominant
205,28,177,0.7596566523279117,205.0,,cry_dominant
