Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
52,327,259,663,179,72,273,203,619,110,2,489,510,501,109,0,0,0,1,2,0,204,7,6,238,35,203,364,416,1098,109,11.032980997860802,2.9085753169059445,108.0171553497216,26.63382314396233,13.773006794419096,4.3004548179565445
53,946,65,356,64,69,884,2,296,9,6,510,513,477,211,0,0,0,0,0,0,277,0,207,507,283,133,121,163,986,211,8.195564902450181,2.381813539384546,89.3121642957603,20.49030095830951,24.83542015826987,7.598411798937333
54,565,328,92,448,67,499,272,31,395,8,512,505,483,266,0,0,0,3,0,0,389,4,3,399,97,8,8,23,939,266,61.2643185499273,29.87759257373176,112.1796228234912,23.63908277642137,59.21570723970079,27.454115109134825
55,804,92,125,410,69,744,22,62,354,4,523,466,511,63,0,0,1,1,0,0,353,22,20,441,299,10,29,52,1123,63,31.973677280838253,25.043639978276197,236.58711414293325,44.80881427006164,95.56672867652114,87.83257043744749
56,785,325,108,206,76,732,264,57,146,9,504,479,517,211,0,0,0,4,1,0,389,16,19,514,216,2,26,55,997,211,103.80526203966117,45.15559289691483,174.59741861743763,31.884735418636186,138.84623097196257,111.1576524316276
57,1256,55,74,55,60,1189,3,18,0,5,513,480,507,142,0,0,0,0,0,0,396,1,134,707,408,0,1,18,1073,142,34.51700593269707,23.94474868552226,116.30220904054784,24.051635335277012,57.12767055834706,38.56282005336127
58,589,144,97,598,72,539,67,37,541,11,493,529,478,195,0,0,0,4,4,0,406,0,1,438,101,7,8,30,1000,195,99.72510327977152,44.35994624187411,109.483273468968,20.927143891603098,60.335531131393275,31.27993584432949
59,827,93,181,339,60,773,19,121,286,5,501,504,495,117,0,0,2,2,0,0,340,19,51,426,347,56,42,65,1087,117,21.731325771289693,13.031668650618705,209.12488809754188,40.52161112548126,76.78530761949901,47.59856144552779
60,953,79,166,240,62,423,6,99,182,5,470,475,555,28,0,0,1,2,0,0,207,0,0,291,132,19,58,80,687,28,55.21964504381249,39.15353416806129,190.6717278632168,39.38906052742444,300.62959965628767,271.0231495747312
61,886,345,106,100,63,827,279,39,46,5,526,473,501,270,0,0,0,2,0,0,382,8,156,451,376,0,20,39,926,270,44.32761661785217,28.98395069117886,163.94119277263934,33.187884749677195,48.250279129860445,26.26779761340905
