Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
32,116,216,371,668,129,56,160,313,607,64,497,471,532,69,0,0,65,31,52,0,31,141,26,3,53,296,16,17,1131,69,12.631016989787138,15.179539491649937,67.79372026962855,16.453304584345698,6.810182232048548,3.5115656791896006
33,62,281,427,355,375,9,213,366,296,319,478,536,486,132,0,0,27,208,72,0,2,55,2,0,9,356,5,10,1071,132,3.777012522975662,1.1689864312307097,196.93820862205888,38.47396373151722,5.476872074866045,2.866241913961666
34,68,304,377,465,286,6,243,304,407,218,482,503,515,96,0,0,21,95,107,0,20,205,0,2,4,273,22,31,1082,96,9.637608357849604,8.511268150433931,313.8041193683021,311.19961326515414,7.145334514704282,3.470597352053493
35,67,384,341,512,196,17,322,279,453,123,496,495,509,101,0,0,22,58,113,0,9,243,2,2,14,274,3,5,1093,101,2.8010861132119698,1.0337097966181554,646.5149598122766,1074.1142837101409,5.969483964817494,2.1085930573460154
36,135,236,460,509,160,82,183,391,447,106,507,498,495,105,0,0,64,71,42,0,22,154,39,6,76,336,16,55,1104,105,32.16901014163535,20.697540100498212,149.07976519924745,52.97933898302445,6.660423481576023,2.3877139438153967
37,85,99,220,483,613,17,31,172,430,541,516,461,523,267,0,0,11,211,244,0,9,22,0,17,0,116,21,56,924,267,24.9471822534067,17.585508823358346,45.51036893128824,11.873237549375746,7.556704520874183,2.799158958993289
38,78,374,400,517,131,14,314,348,461,60,483,506,511,136,0,0,30,17,44,0,25,306,6,4,8,339,9,9,1061,136,10.602477710483674,12.429218898862997,51.97946163762748,12.4970670519502,6.403893177387746,2.85297914850192
39,57,465,354,374,250,5,391,286,319,199,498,515,487,153,0,0,14,97,143,0,12,203,1,2,2,268,4,18,1047,153,15.308119474062105,15.331400062358638,201.10028366493108,49.16683406817718,4.046564141247032,1.4328967210537966
40,97,572,435,121,275,16,509,372,63,219,498,518,484,131,0,0,2,137,84,0,4,185,3,3,13,314,26,58,1048,131,7.110920936781814,2.053256186124952,198.91890110219697,39.728156353704634,7.883356689259827,1.683111119285387
41,84,523,300,356,237,23,461,227,306,182,484,511,505,181,0,0,26,24,173,0,13,299,4,4,16,224,1,3,1018,181,9.450901949287646,9.048487801161139,82.962640280364,16.317239442362077,6.019758011971434,2.3507917418738797
42,87,391,194,477,351,21,339,140,432,284,513,518,469,304,0,0,22,202,279,0,21,69,1,0,21,120,20,20,912,304,13.567297489622678,11.08870630335185,846.2472760060133,515.2418097048502,7.180667343689231,3.2831637288395825
43,70,90,289,525,526,11,40,232,461,458,444,505,551,199,0,0,62,221,71,0,119,35,1,5,5,216,16,16,1003,199,12.223088351613784,16.770906334200916,304.6730421506585,135.57529529964592,9.65511645347548,4.229073162565784
44,101,379,440,501,79,23,309,382,445,27,479,506,515,67,0,0,39,21,25,0,14,289,0,1,22,366,8,16,1119,67,19.847405312852676,14.389959856837203,59.27514921415088,14.243414626267542,5.913299835959011,2.1315709897961894
45,58,327,425,501,189,5,256,369,448,139,504,480,516,118,0,0,20,91,29,0,7,236,1,3,1,353,8,16,1099,118,4.553622412921006,1.7245604985086531,107.55173152457577,20.594249950660753,4.2264227743142415,2.061079489537056
46,90,321,262,399,428,15,265,210,342,366,528,482,490,144,0,0,32,223,151,0,21,84,2,1,12,207,3,3,1054,144,2.9729317872445167,1.6118732182054087,440.50889901204687,120.92591013746909,10.169260864535186,3.897427719219609
47,62,328,196,441,473,0,268,138,378,412,488,487,525,144,0,0,32,107,258,0,17,218,0,0,0,125,6,13,1052,144,9.968332215649475,7.809920753914802,374.8654924009419,144.6928050046852,9.562518627920632,3.699125541582946
48,50,478,298,505,169,9,413,232,454,106,472,532,496,132,0,0,28,71,191,0,35,226,0,8,1,204,14,28,1082,132,10.106370312770117,3.539960260391882,514.3291637221688,833.5667490940491,3.5984264828254613,1.4420910393063457
49,72,144,127,471,686,8,98,77,421,617,517,478,505,336,0,0,20,262,304,0,19,74,3,5,0,70,7,7,885,336,6.8050459341217735,7.623845855087433,611.4274302934073,398.82221710953894,7.14142346289917,2.7710769022026827
50,65,373,308,418,336,8,314,244,359,275,511,496,493,95,0,0,26,183,137,0,14,141,2,3,4,238,6,6,1105,95,3.0133228261452594,1.256394800214365,292.4745105876393,92.58971378117775,5.374873959653699,1.8532072683220393
51,73,478,381,326,242,13,416,312,281,188,502,525,473,109,0,0,26,102,115,0,9,229,1,2,11,307,5,5,1101,109,3.5830951542972445,1.4225920231761668,119.85896262920947,32.85584522023049,5.5030512331431565,2.299198133605321
52,83,241,443,510,223,18,170,379,470,174,533,459,508,113,0,0,22,148,98,0,15,70,1,6,12,252,123,127,1098,113,3.950846311557492,1.4929387387838309,182.71268828237933,52.107653327337786,8.115775721494229,2.8207233364243236
53,70,250,316,632,232,10,196,253,577,176,535,433,532,131,0,0,37,101,78,0,41,155,0,0,10,227,12,26,1081,131,5.511269331941198,1.8661894967351151,86670468940190.6,76610085095293.14,5.157066762777086,1.603379117715548
54,72,474,254,432,268,8,425,188,364,213,519,476,505,209,0,0,15,151,205,0,11,138,1,2,6,171,7,17,989,209,5.257067951632805,1.9295908515218234,1108.2102219715437,581.6602126971354,8.078347852512245,3.6764460230772307
55,68,461,380,485,106,8,403,311,424,47,490,505,505,144,0,0,15,30,99,0,14,293,0,8,0,295,7,16,1049,144,9.500008519023218,7.054397852822287,94.52147515756668,24.44744542713409,4.747307452486287,2.2151787066272157
56,70,553,269,466,142,6,492,219,399,97,517,491,492,148,0,0,22,75,157,0,41,280,0,1,5,208,11,11,1065,148,14.168609499453222,18.80436816244876,93.85294043469712,27.56082502479151,7.05097204802481,3.4315396710131956
57,97,383,328,364,328,25,318,274,312,270,494,509,497,135,0,0,33,187,134,0,16,115,8,3,14,251,9,23,1064,135,4.678347214078429,1.626711496456802,215.69428468914745,59.83508247798955,6.011538595643211,2.1352799082612055
58,69,461,362,489,119,3,403,295,428,71,502,502,496,136,0,0,20,4,85,0,36,347,0,3,0,281,4,14,1064,136,13.376501440958792,10.829056428334237,53.60273495228382,12.208877993377019,8.6211256045629,6.478159193168285
59,71,228,325,483,393,22,161,261,430,335,462,520,518,111,0,0,23,205,152,0,16,77,5,3,19,239,5,22,1098,111,10.782703608985331,10.282991453972432,705.455494559433,663.2507705436202,5.217146452709336,2.0166558587460015
60,92,513,290,404,201,22,456,230,355,126,486,492,522,161,0,0,22,53,155,0,28,265,0,12,10,204,3,26,1028,161,21.973693123994178,14.837635305291947,95.01293953808646,20.432367159433884,7.262012510445315,3.9474654074847173
61,74,517,268,438,203,4,456,218,374,154,502,507,491,153,0,0,16,4,205,0,17,352,0,0,4,193,11,25,1053,153,20.2013703844438,19.33043006320859,57.39266199461979,14.51556199630718,5.844245137244891,1.9894447631683057
62,90,134,512,58,706,33,71,443,0,646,518,484,498,236,0,0,0,273,18,0,5,46,11,11,12,357,33,86,957,236,23.083042828313594,13.59575374451308,283.2035575316801,45.4828936038105,3.0107618721257943,0.6594569862311521
63,68,211,337,525,359,17,148,278,454,293,496,470,534,100,0,0,26,173,77,0,27,137,0,17,0,277,1,1,1090,100,7.507232723298236,4.042878538938644,347.8044323812695,113.01371605046053,6.793508952167712,2.195273376554838
64,84,557,275,502,82,27,500,212,445,16,482,489,529,140,0,0,39,14,196,0,3,305,9,2,25,198,6,14,1060,140,4.124012337259906,1.3817395246794046,41.961911675076436,12.933098327158415,6.759603878160987,2.3821027348026846
65,69,89,380,477,485,18,36,312,422,415,508,493,499,156,0,0,27,231,90,0,14,27,0,14,4,296,9,16,1047,156,14.044848896552539,15.791799946087862,389.4908672348822,83.4297294632561,5.395605709059568,2.1766050899607574
66,78,79,249,517,577,19,21,191,454,510,499,505,496,224,0,0,22,238,190,0,22,15,0,2,17,183,6,8,971,224,20.43620176138638,18.63755755966492,396.9593381266983,173.13274433778915,3.673118128843215,1.2533453546580695
67,64,90,347,688,311,14,31,299,618,249,504,473,523,89,0,0,21,91,129,0,27,9,0,14,0,240,16,59,1122,89,22.2650966554146,13.04987267550582,97.38500222090208,31.34517762564331,5.3161622227264695,2.628802531696071
68,78,387,328,634,73,16,331,264,568,20,532,480,488,153,0,0,91,15,26,0,118,308,0,2,14,242,8,22,1046,153,14.129274947463232,14.439745332846288,43.44359926113073,11.377212601057646,6.163485838889175,2.387207679995794
69,59,575,299,459,108,5,511,250,399,39,500,493,507,147,0,0,14,22,166,0,9,335,0,4,1,226,13,24,1057,147,7.201572805084623,2.6485918820355296,73.96819413164982,19.262802227062657,4.344007017287569,2.175630431096086
70,43,358,215,472,412,4,292,153,417,347,502,513,485,124,0,0,6,60,281,0,5,281,0,3,1,123,15,30,1089,124,6.320749422065488,2.2993437084784647,164.8713306410477,193.40698244916723,3.559536338093627,1.2704360455895334
71,64,183,232,524,497,0,117,177,458,445,497,483,520,105,0,0,20,238,197,0,12,63,0,0,0,174,2,3,1092,105,8.965072121196883,8.694092320754264,1101.682921826397,683.3549202112852,5.018075223872925,2.203348189680231
72,60,227,337,428,448,7,176,269,372,376,505,509,486,160,0,0,22,143,115,0,24,64,1,1,5,255,9,14,1040,160,10.362977531821441,10.739269000250856,237.46880804410958,43.63485533067897,3.9228660168748593,1.6631443190495374
73,79,417,307,516,181,9,357,249,470,127,466,499,535,145,0,0,22,58,142,0,27,270,2,7,0,240,6,9,1067,145,26.195362870405724,22.992562526877702,126.7741915093464,34.28049984906997,5.687265108626128,2.544096319889647
74,54,374,404,507,161,1,305,341,447,106,488,509,503,158,0,0,27,52,43,0,22,269,0,0,1,336,3,5,1042,158,3.1850475469617328,1.3838514683914314,104.30777120693321,28.80508665052213,4.408884809422724,2.6615481535003678
75,65,194,298,494,449,15,124,243,435,389,509,492,499,131,0,0,30,203,141,0,25,96,0,5,10,227,13,16,1075,131,12.89699333381354,13.610242407022227,1473.1794591908172,932.4380801101704,7.80080556560289,3.6735221538078
76,84,437,378,462,139,21,374,319,413,69,483,505,512,192,0,0,23,22,86,0,20,312,4,10,9,307,9,12,1004,192,9.974310282620786,11.980918052514623,107.88649012621694,23.039509637237696,5.557045698105459,2.7754841367230103
77,84,255,322,471,368,10,205,269,422,309,511,508,481,172,0,0,24,221,152,0,28,53,1,6,4,231,19,38,1043,172,6.6356791807742415,2.507671203953674,457.46338420387286,129.3387169647298,7.357981073599245,2.5881784801328362
