Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
75,200,336,779,114,71,149,280,719,48,8,494,493,513,149,0,0,0,0,0,0,4,1,35,39,109,389,283,330,1055,149,11.759326440327362,4.217955128345818,208.9826905237381,64.92134613670731,12.900888418867272,2.6395396510927696
76,160,63,672,533,72,94,9,623,458,0,510,477,513,164,0,0,0,0,0,0,28,6,2,53,39,342,237,281,1020,164,8.062872884632954,3.119677986807345,166.05111623178414,47.709665626538694,13.857066275501248,4.29236990784163
77,474,128,462,372,64,415,61,400,310,14,530,478,492,174,0,0,0,7,11,0,61,0,65,97,318,306,63,94,1026,174,8.092833917524226,3.238083668588519,169.04070527547069,50.941942447357754,29.35662838377268,14.221051862935184
78,763,106,437,129,65,710,52,373,46,10,502,519,479,143,0,0,0,4,0,0,230,2,110,395,257,193,127,180,1048,143,12.48017245571365,4.256775450265817,183.45179608308337,52.91339955294875,12.009916859243978,2.9891874029026124
79,840,62,139,394,65,774,4,72,347,0,509,493,498,76,0,0,1,0,0,0,372,2,14,499,275,28,23,44,1121,76,30.64548184599435,29.123539419789278,176.3455890516734,48.22808925523412,6996.585122600973,7797.643921036095
80,679,265,165,318,73,622,200,103,249,12,494,499,507,156,0,0,0,5,0,0,359,11,2,469,153,31,48,72,1030,156,47.72521303151363,33.75993286012909,309.40885875983355,70.45854442142786,61.11700035041178,21.757340113360133
81,920,175,106,234,65,863,103,46,182,9,501,509,490,122,0,0,2,2,0,0,389,14,42,506,356,0,24,46,1081,122,24.587760810138402,21.517892132074167,347.1856445262134,80.07260084419826,148.83803567629465,47.23573464153383
82,229,324,774,108,65,156,257,715,57,9,517,511,472,164,0,0,0,2,0,0,8,12,48,27,129,400,264,315,1030,164,12.089415665619262,4.456732869436594,268.1339772820014,66.49682081548481,15.007765191085092,3.3252183257157184
83,270,271,743,148,68,205,222,673,96,0,507,493,500,122,0,0,0,0,0,0,59,13,33,105,100,334,290,339,1074,122,13.061570224557814,4.700910841289015,232.46826975966036,66.12419100204583,14.03640177451468,3.9640059760040085
84,1132,74,95,139,60,1065,0,47,83,9,506,483,511,259,0,0,3,0,0,0,396,0,246,585,376,0,26,47,945,259,21.802750526907918,16.24482233917784,208.58645316421834,56.379426005167836,170.56702092840715,133.07323682877677
