Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
54,88,138,270,651,353,19,84,218,603,290,486,520,494,196,0,0,15,44,248,0,9,58,1,3,16,184,15,34,1018,196,14.312822469707802,10.582670103600433,472.018460539722,773.0794505085652,4.70880697294694,2.4412988166894376
55,127,706,291,59,317,67,647,244,12,252,504,475,521,249,0,0,1,39,188,0,25,310,27,22,19,176,21,68,973,249,9.699261645408601,3.2337933177720553,281.1234976993589,83.42598390681927,11.2943456497074,3.435158426288184
56,69,326,408,491,206,20,266,345,423,151,506,475,519,107,0,0,17,108,129,0,2,126,1,4,15,260,54,85,1098,107,9.460110214644304,4.103979441568459,108.37478893874801,47.55912000658864,4.879867859664611,1.7995790819802961
57,67,745,275,307,106,13,693,224,246,49,511,474,515,163,0,0,27,38,126,0,80,322,1,9,3,172,19,52,1062,163,7.506837061402378,3.288234133468774,236.7776970752172,37.95492551998151,5.743991108414671,2.433391759686968
58,92,168,243,845,152,27,117,178,782,103,498,508,494,173,0,0,109,9,92,0,171,117,2,9,17,144,6,34,1034,173,8.861738430127593,3.6694879625131525,87.38411452084101,34.341920713730794,4.889272163990134,1.536094691744416
59,82,326,605,126,361,29,261,537,59,308,506,496,498,171,0,0,0,165,27,0,16,18,6,18,5,362,148,175,1023,171,8.681852714854383,3.118277988734215,219.3402593893172,65.13211026565598,9.55871536452012,1.8473497888145658
60,121,581,373,103,322,67,522,311,46,263,519,482,499,244,0,0,2,151,88,0,45,171,31,23,19,254,24,57,965,244,9.456640003826903,4.043274321320449,450.3044825528064,128.42554583481453,8.546482610099961,2.1081712530177725
61,63,70,246,1009,112,5,8,183,941,54,470,524,506,213,0,0,129,39,9,0,271,6,0,0,5,133,25,50,977,213,8.08120970112517,2.9930259050588397,60.13521880616691,15.988606192526724,5.538842116385635,2.3400735559134307
62,97,885,240,132,146,32,825,181,84,83,495,476,529,172,0,0,0,46,252,0,8,236,3,11,18,133,11,48,1033,172,10.731226486630424,3.8302982601561637,244.71796448745167,34.60047191396141,6.4251771645773985,2.045932448355479
63,84,338,325,456,297,22,274,274,385,241,498,499,503,157,0,0,25,180,131,0,7,128,3,8,11,257,12,17,1039,157,3.895977394480591,1.5576314980841008,8414.102804214821,15519.423978804904,8.20612577486905,2.3633780310487222
64,80,222,229,531,438,12,155,174,456,378,487,521,492,115,0,0,10,132,251,0,8,117,1,7,4,152,10,22,1060,115,4.520403592489387,1.5547260287831473,770.6097551266591,616.3216151908912,8.209423207064352,2.6650633314259005
65,76,379,263,453,329,6,308,225,395,271,503,493,504,142,0,0,8,192,186,0,4,119,2,3,2,205,14,20,1063,142,3.634750641364667,1.715554150024387,127.76972117825774,42.08813899586924,7.148968231228315,2.080938043772713
66,68,637,271,110,414,9,583,206,50,358,490,543,467,290,0,0,3,112,282,0,0,178,0,4,5,143,28,63,916,290,8.238053772275013,3.3315444192156023,278.70192850209423,52.464101950463515,7.07921925048193,1.6624344271544755
67,63,102,188,787,360,2,27,127,729,304,462,498,540,221,0,0,151,215,14,0,287,27,0,0,2,99,10,28,968,221,6.208344078947862,2.7040813004911683,52.54528640692519,13.042115657422398,6.507527113773087,2.1091892703129034
68,83,329,244,505,339,20,259,183,441,276,520,474,506,175,0,0,21,65,214,0,6,254,2,2,18,156,26,27,1004,175,3.477448336096556,1.9421233518711876,73.57630191717381,20.27298344236842,7.147690723180829,2.34166073264437
69,102,672,391,81,254,45,620,323,23,194,485,506,509,195,0,0,0,65,146,0,6,251,13,12,30,260,18,63,1010,195,11.76813713426772,4.537513020855088,192.46839168806716,29.598737645461615,5.56446651677076,2.098957551260628
70,74,280,212,241,693,8,215,163,176,635,484,540,476,249,0,0,8,128,277,0,0,185,1,0,8,159,4,4,948,249,2.8651352700039103,1.7550949796584572,235.97775453603973,103.71676200793021,3.6928195989555035,1.4505002303593335
71,92,473,217,494,224,32,420,171,422,174,516,493,491,135,0,0,14,139,262,0,3,162,8,5,27,126,31,45,1084,135,5.916966526249973,2.815164648095861,2304.1727325069523,4048.4461140886833,5.630822053046291,2.2180184913626704
72,85,349,354,428,284,19,288,296,373,227,488,528,484,105,0,0,17,91,156,0,1,216,0,6,13,263,15,33,1098,105,8.3336147685234,3.7046946151292772,117.54544124358652,33.61251562374464,6.044491986329326,1.6341071954080497
73,80,130,537,507,246,23,76,474,436,189,528,482,490,58,0,0,16,138,26,0,0,38,2,4,19,359,95,115,1140,58,10.930762735091804,8.867328434442907,68.90206836216841,14.984484730020158,7.569803303247562,2.7019925485835463
74,84,368,303,477,268,23,306,253,408,216,488,480,532,161,0,0,15,42,165,0,3,269,0,3,20,217,16,36,1045,161,13.374107607590478,10.96090358962818,114.89364825722932,25.698708482523212,5.250337017026048,1.9899938085236106
75,75,452,200,513,260,9,397,144,442,202,495,511,494,130,0,0,9,62,267,0,5,237,0,1,8,127,10,17,1064,130,7.192162254331671,9.207135305261138,175.7330874222728,65.8659837438938,8.667548176770577,3.5027020670489075
76,72,731,401,111,185,16,658,338,51,127,476,490,534,175,0,0,0,90,106,0,22,245,2,5,10,265,36,73,1015,175,11.16095485305296,4.187110082420349,188.89264290776663,32.16190121351517,10.863718768430473,4.199057504148067
77,90,310,554,436,110,21,244,492,382,49,504,481,515,68,0,0,23,25,13,0,8,200,9,3,15,365,126,127,1120,68,2.319189458956819,0.745265971108689,111.08793490726958,20.3299163963019,9.655648622312068,4.176176612575484
78,143,147,451,466,293,83,97,376,399,247,515,513,472,134,0,0,30,178,8,0,69,88,39,34,16,347,13,29,1068,134,7.0154288405352005,2.9307066668873127,463.2805707464794,224.88754321885926,5.737909310217464,1.6529740971150186
79,80,334,223,533,330,20,270,159,469,270,494,491,515,117,0,0,22,182,247,0,10,24,4,7,12,124,24,35,1071,117,4.481028705204371,2.281216141621944,1055.633820842382,1137.3949912117237,6.751024120082115,2.6067395146707675
