Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
64,846,160,363,66,65,801,96,296,1,4,529,492,479,235,0,0,0,2,0,0,320,0,191,487,222,76,187,220,963,235
65,396,160,614,259,71,346,87,555,207,0,481,505,514,99,0,0,2,0,0,0,198,11,34,270,61,204,303,351,1096,99
66,572,378,144,337,69,513,312,78,286,16,485,489,526,242,0,0,0,5,4,0,353,15,3,385,128,35,9,43,963,242
67,408,234,713,74,71,346,178,656,18,13,463,535,502,119,0,0,0,1,0,0,167,7,15,300,40,270,331,386,1092,119
68,684,334,340,82,60,629,264,285,11,2,462,529,509,181,0,0,0,0,0,0,328,2,87,412,216,103,141,182,1010,181
69,466,59,118,786,71,410,8,67,717,3,505,502,493,190,0,0,0,3,0,0,388,4,0,304,106,22,22,45,1015,190
70,589,81,134,619,77,528,25,77,558,2,480,514,506,127,0,0,2,2,0,0,385,25,12,403,114,29,23,48,1063,127
71,517,223,241,439,80,446,174,181,375,23,527,476,497,233,0,0,0,8,0,0,307,0,0,376,70,73,51,108,966,233
72,956,60,363,54,67,897,8,305,0,0,479,502,519,215,0,0,0,0,0,0,326,4,214,569,174,85,196,220,995,215
73,865,407,110,55,63,808,356,44,1,1,497,504,499,340,0,0,0,0,0,0,396,17,167,447,361,1,24,43,870,340
74,924,77,327,112,60,865,15,279,41,6,533,475,492,258,0,0,0,0,0,0,274,0,248,444,294,94,139,185,948,258
75,956,68,342,63,71,902,3,294,0,0,489,493,518,190,0,0,0,0,0,0,312,3,189,570,233,89,151,205,1009,190
76,731,60,523,124,62,685,4,462,58,3,469,482,549,161,0,0,0,0,0,0,231,1,153,457,121,158,253,304,1051,161
77,995,92,106,241,66,468,27,45,184,7,474,484,542,90,0,0,0,2,0,0,220,20,0,377,91,9,13,36,641,90
78,797,102,188,336,77,725,43,133,277,20,494,462,544,115,0,0,0,10,0,0,339,19,27,507,204,24,95,109,1083,115
79,655,386,324,70,65,589,326,266,9,0,456,490,554,195,0,0,0,0,0,0,299,9,63,380,209,93,132,173,995,195
80,946,215,90,182,67,884,161,45,115,19,488,510,502,223,0,0,0,3,2,0,411,14,102,622,262,11,12,34,1001,223
81,641,320,97,371,71,576,271,43,308,5,469,510,521,241,0,0,0,2,6,0,405,15,3,453,123,0,26,43,962,241
82,524,78,489,338,71,468,16,430,277,8,510,497,493,58,0,0,0,2,3,0,305,15,27,370,82,93,292,337,1141,58
83,688,71,118,562,61,630,15,72,491,10,497,494,509,123,0,0,0,6,3,0,388,6,8,457,165,24,20,48,1095,123
84,910,120,349,66,55,844,63,292,0,3,496,501,503,173,0,0,0,0,0,0,312,4,143,522,238,93,157,199,1029,173
85,878,378,120,62,62,817,320,58,3,4,517,485,498,255,0,0,0,0,0,0,388,18,142,461,356,0,43,58,947,255
86,735,102,147,450,66,678,46,85,389,1,518,497,485,110,0,0,1,1,0,0,397,17,2,449,228,3,58,82,1089,110
87,922,66,382,72,58,871,12,316,7,4,505,483,512,198,0,0,0,0,0,0,286,0,198,519,259,112,138,204,1012,198
88,630,56,119,635,60,543,8,70,575,0,503,505,492,167,0,0,1,0,3,0,386,5,5,443,95,15,37,55,1029,167
89,575,75,142,639,69,515,18,78,582,5,485,506,509,170,0,0,0,2,2,0,377,4,1,407,107,27,17,51,1028,170
90,486,285,615,50,64,428,211,555,0,7,474,508,518,122,0,0,0,2,0,0,233,9,45,354,32,173,332,382,1079,122
91,712,65,280,372,71,658,8,230,311,0,470,488,542,208,0,0,0,0,0,0,312,3,113,380,278,86,96,144,999,208
92,639,49,180,578,54,570,7,128,505,3,459,538,503,105,0,0,4,2,0,0,325,7,15,394,175,108,17,20,1108,105
93,655,106,115,549,75,601,37,58,486,1,493,503,504,210,0,0,0,1,4,0,389,18,11,408,192,4,23,54,973,210
94,810,285,193,140,72,743,217,130,87,8,514,506,480,161,0,0,3,2,1,0,391,6,57,457,284,1,111,129,1024,161
95,623,386,105,316,70,561,326,49,254,15,508,478,514,248,0,0,0,3,2,0,378,15,1,422,138,0,26,49,957,248
96,374,67,172,812,75,319,4,106,747,15,503,493,504,199,0,0,0,7,0,0,383,4,0,238,81,20,13,86,992,199
97,802,312,103,213,70,734,252,43,142,23,470,514,516,239,0,0,0,5,5,0,408,9,38,499,230,4,19,39,955,239
98,427,353,581,67,72,374,292,512,3,1,456,516,528,145,0,0,0,1,2,0,231,1,40,288,65,168,291,344,1037,145
99,764,280,117,266,73,571,224,62,202,5,521,474,505,179,0,0,1,2,0,0,325,17,1,429,141,8,33,54,885,179
100,1047,74,266,54,59,990,17,202,2,8,520,490,490,194,0,0,0,3,0,0,326,12,182,565,331,70,81,132,1025,194
101,459,297,499,175,70,404,238,435,118,0,500,482,518,141,0,0,0,0,2,0,268,9,28,300,104,109,290,326,1054,141
102,1024,60,296,63,57,955,4,239,7,0,476,512,512,219,0,0,0,0,0,0,326,0,219,588,277,94,93,145,986,219
103,983,67,334,57,59,932,4,272,2,0,475,485,540,232,0,0,0,0,0,0,282,1,231,556,254,115,113,157,978,232
104,715,360,107,249,69,649,309,48,193,11,485,488,527,237,0,0,0,4,7,0,383,17,0,438,211,0,27,48,973,237
105,946,67,347,80,60,890,0,290,10,13,472,519,509,235,0,0,0,0,0,0,313,0,229,535,230,90,160,200,968,235
106,1170,82,90,98,60,1101,17,37,31,4,473,504,523,167,0,0,0,1,0,0,398,17,146,742,324,3,14,34,1023,167
107,460,66,608,306,60,397,11,542,249,8,484,503,513,99,0,0,0,1,1,0,218,4,41,337,19,183,317,359,1108,99
108,542,62,473,354,69,483,7,417,300,0,505,504,491,108,0,0,1,0,0,0,303,7,47,351,128,105,272,312,1099,108
109,692,71,506,161,70,645,18,437,101,0,498,507,495,113,0,0,0,0,0,0,272,7,92,463,132,129,268,308,1088,113
110,551,67,511,309,62,488,8,446,257,4,477,483,540,120,0,0,0,0,0,0,257,0,59,360,104,129,278,317,1083,120
111,835,104,426,74,61,771,47,374,1,0,495,477,528,208,0,0,0,0,0,0,242,4,182,467,194,132,196,242,985,208
112,659,71,109,597,64,598,13,45,534,22,502,468,530,201,0,0,0,6,4,0,372,5,1,396,202,5,19,40,1011,201
113,702,362,113,249,74,646,301,50,187,17,481,519,500,225,0,0,0,3,4,0,413,14,17,431,214,4,14,46,976,225
114,606,179,117,527,71,542,125,65,465,9,482,509,509,243,0,0,0,1,0,0,414,0,5,456,86,1,42,64,963,243
115,833,83,166,359,59,780,19,115,298,6,513,498,489,132,0,0,7,0,5,0,371,10,87,446,326,12,88,103,1086,132
116,538,54,118,720,70,483,0,52,660,5,497,489,514,176,0,0,0,2,0,0,377,0,3,391,89,6,13,46,1024,176
