Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
49,581,211,478,166,62,525,160,417,108,10,488,474,538,288,2,0,0,0,0,0,35,13,123,200,296,344,32,73,932,288,1042.771466867681,234.82527002647316,65.39936882624096,10.463742024517884,27.96403904588368,7.732434819858621
50,543,88,150,433,69,486,35,83,367,8,486,554,460,237,217,0,0,0,2,0,404,29,17,420,62,32,34,51,742,237,1019.3474617936351,218.44648047494357,101.44733257092035,14.632445184228434,191.9007921757928,204.15625934913325
51,602,240,455,123,72,544,180,391,69,13,495,496,509,203,8,0,0,0,0,0,82,19,58,242,293,326,37,65,994,203,809.3353577554597,196.20364111382344,77.80198546991996,11.928617468610474,74.15012390024314,26.09488295087633
52,460,82,96,527,63,399,18,43,465,3,503,503,494,176,272,0,0,0,0,0,387,18,3,362,37,13,30,30,752,176,977.9179081988739,214.80666166158517,100.87023798593319,15.37980360034733,670.945383617403,1287.306509291952
53,556,219,508,151,66,484,154,449,97,4,550,457,493,227,0,0,0,0,0,0,2,29,61,149,333,358,39,91,961,227,976.3156171271208,215.9359004437051,87.32482316125854,12.914443008887178,19.01399798243778,5.423665061046212
54,622,95,398,311,70,567,33,335,246,0,484,491,525,163,4,0,29,0,0,0,126,28,73,264,299,263,28,72,1018,163,841.043013131384,208.83152363057235,90.45415852555757,13.673904325263592,39.715810216756275,8.948782859865249
55,488,303,522,123,64,426,234,471,69,4,494,510,496,203,0,0,2,0,1,0,25,6,56,109,314,394,39,77,1001,203,932.3870175556716,218.2469049419183,68.29456713705626,11.68299225135727,10.088400318889809,3.1423243420980937
56,379,89,92,614,65,325,30,34,561,1,493,484,523,231,261,0,0,0,1,0,391,24,4,282,42,4,30,30,720,231,1109.1863427162148,237.7807991984875,94.5823517685885,14.445912444561129,15.25966755342826,5.586160456122329
57,604,96,229,347,70,546,42,172,284,4,500,480,520,272,154,0,8,0,2,0,260,23,104,376,167,115,37,57,776,272,898.9275804322033,198.4296853220386,94.46131622926872,13.264875623059208,122.19868415089643,84.70753448295528
58,439,87,114,562,66,383,23,59,492,9,492,501,507,234,232,0,0,0,0,0,384,23,1,319,64,11,34,48,732,234,1041.535748311447,218.48458734863365,100.4158254051853,15.474330115238873,13.455841555983746,6.199524323229352
