Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
48,107,0,0,2,3,1,0,314,0,0,359,118,78,37,61,1105,107
49,128,0,0,0,1,0,0,386,0,0,403,102,28,20,51,1076,128
50,82,0,0,0,2,0,0,305,10,6,393,118,90,263,306,1128,82
51,224,0,0,1,5,1,0,366,40,51,485,147,43,177,185,980,224
52,172,0,0,0,1,0,0,354,0,152,525,242,85,141,192,1029,172
53,92,0,0,1,1,3,0,361,6,4,396,97,44,89,102,1109,92
54,163,0,0,1,2,1,0,254,0,99,325,149,130,253,306,1045,163
55,171,0,0,0,0,1,0,260,0,3,331,46,129,205,239,1033,171
56,154,0,0,0,2,0,0,342,5,57,468,284,33,43,62,1038,154
57,196,0,0,0,5,0,0,385,13,143,520,274,20,61,94,1005,196
58,191,0,0,0,5,0,0,396,10,114,558,240,1,37,63,1041,191
59,211,0,0,0,0,0,0,316,3,204,536,281,74,116,167,983,211
60,234,0,0,0,0,0,0,327,1,233,575,300,66,77,120,966,234
61,162,0,0,0,0,0,0,270,0,92,349,130,144,181,219,1029,162
62,165,0,0,0,4,0,0,323,4,90,397,287,68,117,151,1038,165
63,186,0,0,0,0,1,0,305,4,57,360,162,110,206,247,1020,186
64,115,0,0,0,0,5,0,197,5,4,244,50,192,341,383,1066,115
65,243,0,0,0,1,0,0,325,0,194,488,315,85,82,126,973,243
66,95,0,0,0,0,1,0,182,8,5,255,17,209,329,379,1111,95
67,151,0,0,0,2,1,0,354,11,15,462,178,43,38,56,1043,151
68,196,0,0,0,0,0,0,282,0,194,499,231,131,154,200,1008,196
69,151,0,0,0,2,0,0,250,0,30,282,6,113,230,273,1040,151
70,145,0,0,0,0,2,0,391,0,1,400,116,7,19,53,1059,145
71,104,0,0,2,0,0,0,266,13,11,338,169,106,228,258,1082,104
72,143,0,0,1,0,3,0,392,2,0,441,83,0,72,100,1066,143
73,173,0,0,0,5,0,0,390,1,2,444,251,4,15,43,1027,173
74,112,0,0,1,3,0,0,332,5,5,405,182,45,46,78,1107,112
75,207,0,0,1,0,0,0,400,3,111,456,392,0,15,25,998,207
76,145,0,0,0,1,0,0,402,6,0,397,104,0,29,51,1055,145
77,87,0,0,6,3,0,0,419,0,63,497,250,0,147,152,1114,87
78,221,0,0,2,0,0,0,370,3,135,426,358,13,50,77,976,221
79,216,0,0,0,0,1,0,303,0,142,495,60,90,86,116,974,216
80,141,0,0,1,5,0,0,384,12,27,460,121,43,51,68,1069,141
81,135,0,0,0,0,0,0,313,8,88,525,94,75,279,322,1055,135
82,186,0,0,0,4,0,0,393,28,130,658,182,0,80,106,1016,186
83,71,0,0,1,0,0,0,195,5,54,311,36,179,348,393,1119,71
84,144,0,0,0,0,0,0,389,4,4,436,146,10,10,35,1073,144
85,168,0,0,0,2,2,0,353,0,12,397,78,72,55,81,1034,168
86,87,0,0,2,4,3,0,390,26,7,484,142,11,219,248,1125,87
87,180,0,0,0,0,0,0,313,9,144,503,260,44,161,197,1002,180
88,146,0,0,0,0,3,0,367,3,3,403,112,40,24,44,1044,146
89,150,0,0,2,0,0,0,282,4,137,456,273,90,112,164,1042,150
90,81,0,0,0,2,0,0,399,17,5,478,314,3,39,61,1107,81
91,170,0,0,0,0,1,0,312,1,99,354,244,85,165,205,1019,170
92,154,0,0,2,2,1,0,390,2,96,446,316,6,89,116,1046,154
93,192,0,0,0,0,0,0,380,0,1,440,110,39,23,51,1024,192
94,100,0,0,0,0,6,0,379,8,13,460,160,44,55,76,1132,100
95,126,0,0,5,0,0,0,378,2,97,417,303,18,87,90,1057,126
96,222,0,0,0,0,0,0,306,0,178,475,146,113,105,145,960,222
97,243,0,0,0,1,0,0,348,0,241,590,285,81,89,131,962,243
98,109,0,0,0,6,0,0,384,22,4,553,134,0,90,130,1096,109
99,123,0,0,0,0,4,0,405,16,3,414,194,14,21,49,1092,123
100,236,0,0,0,0,0,0,365,6,0,423,96,30,70,97,970,236
101,156,0,0,0,7,3,0,364,19,56,566,151,7,12,35,1043,156
102,310,0,0,0,3,0,0,389,10,248,590,294,1,17,48,897,310
103,258,0,0,0,0,0,0,414,12,147,473,365,1,22,46,943,258
104,239,0,0,0,0,0,0,430,4,237,713,377,0,26,55,965,239
105,141,0,0,0,2,1,0,428,18,43,600,135,0,61,94,1057,141
106,217,0,0,0,0,2,0,419,16,111,611,160,0,28,48,984,217
107,200,0,0,1,0,0,0,424,9,0,473,80,0,249,274,995,200
108,213,0,0,0,0,0,0,314,3,186,537,233,73,120,148,985,213
109,171,0,0,0,0,0,0,371,0,5,389,97,30,14,44,1024,171
110,124,0,0,0,1,2,0,254,0,42,296,65,134,287,323,1082,124
111,145,0,0,0,0,0,0,307,15,75,467,105,84,291,333,1056,145
112,169,0,0,1,0,0,0,378,0,12,309,95,2,106,120,1010,169
113,264,0,0,0,1,0,0,391,18,180,529,368,0,16,49,936,264
114,151,0,0,0,6,6,0,397,3,7,450,117,5,12,42,1049,151
115,233,0,0,0,12,2,0,365,17,32,472,159,35,194,213,984,233
116,151,0,0,0,7,0,0,341,17,33,436,177,55,67,98,1052,151
117,141,0,0,0,0,0,0,401,8,3,489,123,2,21,42,1061,141
118,125,0,0,0,8,3,0,377,21,19,483,175,4,22,54,1066,125
119,186,0,0,0,0,1,0,289,0,145,532,188,121,130,171,1012,186
120,146,0,0,0,2,6,0,342,8,1,406,102,37,30,50,1057,146
121,138,0,0,1,7,0,0,358,18,71,506,249,34,43,73,1055,138
122,141,0,0,0,3,3,0,371,19,15,447,187,6,12,49,1049,141
123,235,0,0,0,0,1,0,310,2,226,559,273,93,115,161,972,235
124,189,0,0,0,1,1,0,404,9,52,507,205,5,154,176,1024,189
125,113,0,0,3,0,0,0,393,5,37,464,323,5,66,89,1086,113
126,246,0,0,0,0,0,0,325,0,133,389,304,62,96,143,971,246
127,149,0,0,2,2,8,0,341,5,6,431,120,41,14,19,1051,149
128,121,0,0,4,1,5,0,347,11,42,366,277,30,34,45,1080,121
129,129,0,0,0,0,0,0,279,5,85,467,299,96,103,158,1061,129
130,72,0,0,0,0,0,0,224,6,3,284,101,171,273,319,1127,72
131,89,0,0,0,3,0,0,371,8,18,602,163,4,15,38,1099,89
132,89,0,0,0,0,1,0,179,4,12,247,19,231,326,376,1115,89
133,94,0,0,3,9,0,0,315,5,10,369,229,95,18,42,1136,94
134,234,0,0,0,3,7,0,308,8,5,356,84,65,20,47,968,234
135,195,0,0,0,0,0,0,308,3,192,553,219,79,167,225,1005,195
136,181,0,0,0,0,1,0,418,7,114,620,138,3,20,39,1024,181
137,149,0,0,1,0,2,0,400,0,7,413,112,2,17,48,1037,149
138,102,0,0,2,4,0,0,335,16,8,420,283,31,63,82,1108,102
139,154,0,0,0,5,0,0,355,0,1,434,122,46,62,84,1041,154
140,231,0,0,0,0,0,0,368,8,137,456,393,0,18,43,983,231
141,160,0,0,0,0,1,0,279,4,0,311,91,111,33,61,1031,160
142,117,0,0,4,1,2,0,399,3,3,430,91,37,81,116,1092,117
143,139,0,0,1,3,2,0,363,20,7,424,164,26,57,77,1057,139
144,239,0,0,0,2,2,0,349,12,18,416,152,65,190,214,957,239
145,241,0,0,0,0,0,0,346,1,237,581,281,70,92,135,949,241
146,111,0,0,0,3,5,0,280,2,66,472,104,101,234,273,1090,111
147,137,0,0,8,3,4,0,332,5,89,391,369,32,20,25,1063,137
148,146,0,0,0,0,0,0,350,1,42,507,133,18,107,148,1050,146
149,183,0,0,0,2,1,0,345,10,52,415,221,44,44,91,1006,183
150,186,0,0,0,3,0,0,419,9,177,670,332,0,48,61,1011,186
151,225,0,0,0,2,0,0,344,0,109,391,279,70,88,131,965,225
152,192,0,0,0,0,3,0,389,4,2,245,90,5,23,49,1001,192
153,182,0,0,0,3,0,0,379,19,90,476,296,0,54,72,1031,182
154,235,0,0,0,0,0,0,301,0,233,550,232,99,144,190,971,235
155,214,0,0,0,0,1,0,277,4,192,503,247,107,138,178,987,214
156,238,0,0,0,0,0,0,314,0,165,506,197,66,111,149,957,238
157,186,0,0,0,2,3,0,323,1,5,377,69,47,96,113,1015,186
158,125,0,0,2,4,0,0,342,30,22,401,155,42,99,119,1078,125
159,154,0,0,0,1,4,0,406,16,25,465,179,0,87,117,1046,154
160,194,0,0,0,0,0,0,276,0,105,325,239,98,161,206,1003,194
161,209,0,0,0,0,0,0,279,0,207,528,255,84,150,193,988,209
162,136,0,0,0,3,0,0,379,6,124,521,387,0,16,35,1053,136
163,217,0,0,0,7,0,0,320,0,86,462,284,59,89,113,971,217
164,135,0,0,0,0,0,0,327,1,72,467,165,71,223,257,1043,135
165,113,0,0,0,5,0,0,301,12,103,572,268,79,124,158,1088,113
166,202,0,0,0,0,0,0,342,24,184,607,301,54,67,95,990,202
167,166,0,0,0,5,4,0,390,3,9,434,129,31,45,67,1033,166
168,161,0,0,0,1,0,0,357,5,1,446,153,0,73,87,1045,161
169,139,0,0,0,0,0,0,297,1,40,335,30,108,199,246,1055,139
170,135,0,0,1,0,5,0,370,10,6,424,164,23,28,59,1061,135
171,192,0,0,0,0,0,0,271,3,179,474,218,138,161,205,995,192
