Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
51,72,837,436,50,105,0,783,371,7,54,516,469,515,246,0,0,0,20,46,0,0,360,0,0,0,321,19,50,969,246,518.619988620832,160.1575191710434,58.28851647813891,13.08965522338384,44.56244634333345,48.181077654023525
52,51,399,489,349,212,0,345,424,287,148,492,491,517,153,0,0,18,68,1,0,0,220,0,0,0,395,14,29,1051,153,593.4002872817612,170.57061779348703,124.556966839488,36.25086041889679,21.333705768005466,22.445137044781696
53,57,742,348,274,79,0,681,296,224,18,483,527,490,182,0,0,18,9,152,0,12,329,0,0,0,265,27,31,1037,182,572.3357929314216,167.6833265560312,36.54998108774696,8.935617268444116,30.917131875348392,36.97775534306794
54,59,671,305,214,251,0,606,247,166,186,489,520,491,221,0,0,15,8,188,0,2,354,0,0,0,219,23,28,984,221,509.70807986749196,164.03302415558716,78.75446968635633,16.08359804914364,47.4538640490996,51.42718795599718
55,58,819,356,192,75,0,766,287,131,12,492,483,525,206,0,0,17,8,124,0,0,346,0,0,0,267,15,20,990,206,619.197852851664,176.69830014580117,31.273295588303757,8.445671573689529,38.220064458632486,37.4977866280772
56,43,683,516,90,168,0,616,451,38,106,499,485,516,225,0,0,0,52,5,0,0,230,0,0,0,389,23,62,986,225,806.1981537558128,209.752247324325,94.3118819574614,29.85336145565665,17.680676592641277,20.99741306995038
57,53,75,531,441,400,0,14,468,383,334,482,535,483,166,0,0,55,168,0,0,0,8,0,0,0,427,29,41,1033,166,662.3271113547893,182.1087660687959,213.75591974729105,49.37594469541122,42.3050108378656,47.70537036365662
58,56,916,275,174,79,0,854,220,115,6,516,467,517,218,0,0,7,4,212,0,0,339,0,0,0,168,27,52,977,218,784.3752833761877,207.89487692798943,33.342498401717265,7.629589007642512,9.707314458683905,7.198801332711798
59,59,966,138,276,61,0,890,85,220,13,493,489,518,222,0,0,20,8,317,0,15,330,0,0,0,65,20,20,986,222,697.0350267411233,193.9339945160517,33.471135591866236,10.35008251286595,24.503780193963383,23.39617640413203
60,68,62,520,437,413,1,11,468,372,357,505,519,476,185,0,0,56,170,0,0,1,10,0,1,0,423,27,45,1024,185,594.3310132241666,176.2625801525526,263.8833842967151,56.7745705197106,85.32426939289066,63.50927745220865
61,57,582,479,262,120,0,524,416,205,55,468,525,507,207,0,0,15,22,60,0,0,275,0,0,0,361,27,55,993,207,658.7701078520789,181.419247359101,53.18261250795925,12.976691879487511,30.025659521753838,42.74932099749169
62,64,578,467,293,98,0,528,417,238,48,519,460,521,143,0,0,19,24,8,0,0,343,0,0,0,366,24,51,1088,143,425.02051490010257,146.5008674099531,53.595488757474385,14.458548794674977,5.009030599210073,2.1522188931832247
63,56,542,481,214,207,0,468,419,161,154,487,484,529,194,0,0,19,75,0,0,0,202,0,0,0,391,18,28,1008,194,559.869644505294,172.62756531962174,168.2989655386147,53.14878901158714,36.63828967527267,35.290095063182505
64,61,847,412,95,85,0,785,347,44,26,503,475,522,224,0,0,0,12,76,0,0,326,0,0,0,313,20,34,978,224,819.700913002529,215.3488312841773,38.007577611768475,10.613479054945955,55.47419170278909,55.61454718614879
65,60,619,450,294,77,0,568,383,240,17,480,524,496,178,0,0,7,14,72,0,0,329,0,0,0,342,23,41,1030,178,452.40815818624503,150.02383946318122,31.548023375950564,8.180083631202494,38.198979246505,44.8792166993864
66,58,767,504,77,94,0,704,451,16,33,504,505,491,200,0,0,0,16,24,0,0,329,0,0,0,383,29,68,1004,200,613.7598167094986,172.4680097749488,40.09814916795885,10.898980713277956,25.207704652186603,23.302467136661136
67,72,442,479,209,298,1,387,421,153,231,511,475,514,231,0,0,17,90,17,0,0,174,0,1,0,363,33,58,962,231,806.6204042729019,211.512435131024,136.66244906960742,32.1123867143005,52.7012060519826,47.053482031052475
68,67,658,433,266,76,0,603,365,195,24,458,517,525,154,0,0,16,12,77,0,0,310,0,0,0,336,18,29,1033,154,475.62989308884244,160.85110925917198,45.52070671821878,10.028462841186355,31.719872968898855,46.18829835454298
69,53,739,382,242,84,0,678,319,184,13,474,483,543,187,0,0,15,5,89,0,0,316,0,0,0,280,25,39,1007,187,563.1935884117497,165.09282542537773,35.59790635409628,9.331147929507415,29.859257900251535,36.74807397183498
