Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
60,302,306,295,291,306,510,491,499,467,0,0,13,78,195,0,216,107,146,104,97,80,114,215,1033,467
61,291,304,307,302,296,494,472,534,404,0,0,26,68,203,0,170,90,148,94,99,99,94,208,1096,404
62,284,309,303,296,308,496,488,516,407,0,0,28,71,213,0,178,103,142,103,98,97,92,206,1093,407
63,305,279,313,309,294,497,487,516,411,0,0,54,79,191,0,206,88,141,114,102,90,105,223,1089,411
64,281,318,293,310,298,510,493,497,421,0,0,46,81,215,0,174,112,142,94,88,104,92,189,1079,421
65,304,286,297,324,289,496,493,511,479,0,0,27,67,180,0,217,97,151,112,90,96,102,201,1021,479
66,310,289,295,327,279,502,504,494,422,0,0,43,75,197,0,202,89,147,108,104,105,112,190,1078,422
67,338,298,283,266,315,468,526,506,415,0,0,43,66,201,0,226,102,175,121,91,99,97,184,1085,415
68,286,327,316,277,294,503,474,523,473,0,0,32,67,210,0,186,109,194,55,96,78,108,238,1027,473
69,280,315,309,315,281,485,497,518,440,0,0,33,62,208,0,193,101,143,91,88,96,104,213,1060,440
70,298,311,292,304,295,489,502,509,428,0,0,34,81,198,0,200,99,149,101,99,104,86,188,1072,428
71,293,291,307,306,303,489,522,489,408,0,0,49,70,219,0,192,102,135,116,91,111,89,196,1092,408
72,296,308,289,315,292,508,477,515,424,0,0,64,75,194,0,188,105,148,88,112,95,98,194,1076,424
73,306,290,306,292,306,474,519,507,416,0,0,44,74,203,0,203,91,148,110,91,113,99,193,1084,416
74,287,280,314,297,322,480,515,505,403,0,0,30,84,213,0,202,89,146,94,96,100,98,214,1097,403
75,297,327,295,292,289,495,502,503,449,0,0,54,69,202,0,192,105,149,101,99,108,95,187,1051,449
76,317,315,290,291,287,498,504,498,424,0,0,42,76,198,0,206,99,155,103,111,100,108,190,1076,424
77,293,291,307,301,308,476,499,525,446,0,0,18,79,199,0,200,85,151,92,97,100,99,207,1054,446
78,293,310,288,311,298,480,494,526,394,0,0,44,75,199,0,190,99,150,96,103,105,87,183,1106,394
79,305,295,324,294,282,464,486,550,431,0,0,59,59,207,0,191,88,176,103,86,88,121,236,1069,431
80,309,326,329,288,248,485,469,546,371,0,0,35,67,184,0,181,106,154,109,99,104,105,225,1129,371
81,291,296,314,289,310,491,490,519,421,0,0,46,76,205,0,191,93,153,83,106,94,94,220,1079,421
82,303,309,306,294,288,513,467,520,487,0,0,37,81,198,0,191,96,202,77,98,78,116,228,1013,487
83,291,312,316,274,307,515,493,492,450,0,0,45,71,201,0,185,103,161,89,95,107,115,209,1050,450
84,276,321,294,292,317,498,477,525,433,0,0,32,75,209,0,171,98,129,93,102,97,98,197,1067,433
85,285,337,298,271,309,471,494,535,479,0,0,0,75,225,0,175,96,137,106,80,94,115,204,1021,479
86,278,321,305,309,287,487,527,486,434,0,0,21,73,208,0,202,104,148,87,89,117,100,188,1066,434
87,283,318,327,276,296,495,479,526,566,0,0,0,74,187,0,190,103,152,88,96,102,108,225,934,566
88,285,345,311,276,283,513,496,491,436,0,0,30,66,201,0,182,130,138,98,96,113,95,198,1064,436
89,297,302,324,276,301,466,530,504,472,0,0,28,62,215,0,200,103,150,104,87,115,93,209,1028,472
90,314,295,304,290,297,496,473,531,456,0,0,50,64,180,0,202,103,154,103,116,91,90,213,1044,456
91,302,282,293,309,314,507,505,488,414,0,0,37,77,200,0,206,99,141,117,83,99,108,194,1086,414
92,302,302,295,295,306,480,489,531,418,0,0,49,60,204,0,191,97,154,96,102,94,98,201,1082,418
93,305,299,309,285,302,478,481,541,368,0,0,33,79,191,0,180,83,143,113,92,110,101,199,1132,368
94,311,327,289,294,279,482,497,521,412,0,0,38,71,202,0,195,117,146,110,106,100,88,189,1088,412
95,316,299,330,268,287,529,473,498,412,0,0,52,78,184,0,186,108,154,109,107,103,118,227,1088,412
96,291,305,305,305,294,480,511,509,411,0,0,44,78,189,0,213,94,135,111,92,109,100,196,1089,411
97,312,290,296,285,317,498,496,506,450,0,0,33,79,201,0,201,98,154,110,96,94,108,202,1050,450
98,267,326,324,296,287,470,521,509,418,0,0,49,72,212,0,198,107,134,92,86,111,109,213,1082,418
99,290,282,310,306,312,541,454,505,435,0,0,54,85,187,0,162,94,148,79,116,105,106,205,1065,435
100,296,322,316,265,301,454,497,549,452,0,0,28,68,201,0,206,98,167,98,80,90,96,226,1048,452
101,309,307,280,279,325,528,493,479,416,0,0,40,97,212,0,181,111,151,107,99,100,87,180,1084,416
102,297,308,279,317,299,500,501,499,411,0,0,35,82,198,0,205,100,139,97,109,98,91,181,1089,411
103,320,313,301,283,283,516,502,482,389,0,0,47,91,196,0,197,104,144,114,111,109,103,192,1111,389
104,289,305,306,307,293,473,528,499,422,0,0,24,70,218,0,204,78,135,102,95,106,94,200,1078,422
105,271,324,302,305,298,506,507,487,419,0,0,52,76,198,0,200,109,143,88,88,109,101,193,1081,419
106,316,304,312,264,304,480,487,533,411,0,0,46,81,190,0,194,100,152,119,93,103,112,209,1089,411
107,308,317,288,292,295,454,519,527,500,0,0,0,68,231,0,197,82,160,99,96,91,94,197,1000,500
108,297,316,280,299,308,472,496,532,444,0,0,38,71,221,0,205,92,146,97,94,70,91,210,1056,444
109,277,319,329,241,334,463,506,531,460,0,0,20,75,214,0,170,95,136,96,92,122,87,207,1040,460
110,322,294,278,323,283,507,490,503,454,0,0,42,72,182,0,213,99,181,92,115,95,93,183,1046,454
111,313,274,317,310,286,487,504,509,483,0,0,26,62,189,0,216,87,174,102,113,99,102,218,1017,483
112,278,304,318,323,277,493,502,505,444,0,0,20,77,205,0,194,91,140,94,94,103,109,215,1056,444
113,274,318,307,298,303,518,507,475,393,0,0,48,81,219,0,194,103,140,90,93,94,110,213,1107,393
114,278,309,283,321,309,523,483,494,426,0,0,36,89,195,0,193,107,135,96,98,95,92,188,1074,426
115,308,291,307,275,319,488,510,502,426,0,0,46,71,216,0,190,95,155,102,100,104,107,203,1074,426
116,305,299,298,310,288,495,490,515,387,0,0,37,68,197,0,189,101,146,105,106,104,89,194,1113,387
117,319,308,299,279,295,496,517,487,380,0,0,49,95,215,0,205,93,153,109,106,97,104,202,1120,380
118,283,335,291,297,294,520,459,521,416,0,0,42,76,189,0,190,116,132,95,101,80,93,211,1084,416
119,266,276,276,350,332,497,509,494,399,0,0,56,81,206,0,218,98,133,88,80,85,100,191,1101,399
120,278,295,295,304,328,516,466,518,417,0,0,33,78,208,0,163,91,138,86,103,95,95,200,1083,417
121,300,298,282,317,303,469,503,528,396,0,0,38,61,200,0,202,100,146,109,87,101,94,181,1104,396
122,306,286,283,308,317,473,503,524,439,0,0,46,81,196,0,224,101,152,114,80,83,88,200,1061,439
123,317,290,278,314,301,495,480,525,441,0,0,14,76,176,0,214,104,168,97,112,90,79,188,1059,441
124,294,305,303,287,311,533,498,469,411,0,0,48,88,186,0,201,109,145,97,107,111,100,192,1089,411
125,307,313,294,310,276,488,498,514,406,0,0,50,59,198,0,198,98,148,108,95,102,102,192,1094,406
126,291,306,298,320,285,514,466,520,476,0,0,43,75,180,0,199,98,155,89,107,87,105,211,1024,476
127,288,290,315,338,269,495,510,495,450,0,0,35,56,180,0,211,105,150,93,99,119,93,196,1050,450
128,297,329,306,280,288,456,501,543,401,0,0,37,59,218,0,184,88,145,101,101,99,94,207,1099,401
