Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
93,866,77,291,195,71,811,14,231,146,5,513,473,514,160,0,0,0,2,0,0,336,12,113,506,256,44,150,187,1047,160,8.89064577283631,2.8187491051355806,234.9078196620259,65.14107838492392,767.0108608512109,1175.630599419513
94,906,215,271,51,57,852,152,205,0,4,504,492,504,167,0,0,0,3,0,0,327,26,90,529,280,62,101,143,1046,167,7.908621216459722,2.2335790292824904,265.81086166885177,61.513504423299146,94.48264684254404,84.6142657213578
95,987,50,324,80,59,932,0,261,3,1,496,494,510,207,0,0,0,0,0,0,302,0,207,563,264,94,124,167,990,207,8.565947457377753,2.4101368477256737,125.95827994746136,36.689077585626045,173.7863930232012,169.08041301054956
96,659,276,207,297,61,589,206,151,240,12,493,486,521,164,0,0,0,0,0,0,377,10,1,445,144,19,119,132,1034,164,13.180219286550273,11.675044414854774,258.55635295590093,59.07202325901267,2145.9438588008093,3073.539986427893
97,515,70,471,385,59,463,9,411,323,2,490,509,501,117,0,0,0,0,0,0,251,4,33,350,80,147,226,264,1091,117,7.293890578563951,2.241587935660934,159.9236204234602,51.43831585168237,93.17457761629308,36.58012046199558
98,385,334,618,97,66,336,277,551,31,4,473,515,512,128,0,0,0,0,3,0,228,4,12,291,43,196,323,355,1071,128,7.532651806431734,2.305950560893388,166.09052397884156,48.594584686869624,20.30683498116343,6.93235315033415
99,934,66,115,322,63,857,1,62,265,6,501,520,479,213,0,0,0,0,0,0,401,0,112,635,135,3,27,59,978,213,17.869749521292363,13.555496514564455,184.45800531539348,47.63371547381174,131.3185126611853,104.66467132678362
100,358,116,639,319,68,304,51,583,243,11,475,504,521,97,0,0,0,0,2,0,199,3,21,255,42,202,328,381,1095,97,9.468135784776875,2.6013900802208614,155.42295567221154,41.56542889024093,35.224427307900484,19.231736080539477
101,827,46,190,365,72,759,8,125,307,2,508,456,536,231,0,0,0,2,0,0,340,0,146,417,335,27,78,98,970,231,7.238484174656762,2.1922492400796876,133.13746788858984,38.76309787249011,79.4722054284376,29.849766270505366
102,922,66,106,342,64,855,9,43,294,3,508,513,479,338,0,0,0,3,0,0,411,5,243,477,378,0,13,43,866,338,19.997407344781276,12.993905058746023,209.44978389508304,57.36462774449953,100.64239947404249,53.66354921724365
103,424,53,286,669,68,352,0,213,613,5,522,468,510,164,0,0,1,2,0,0,298,0,27,276,49,70,112,143,1019,164,9.308355253973879,2.7420179300224015,161.8337843148007,49.38259385225254,96.5763072539116,78.16932680020986
104,506,59,228,633,74,446,2,172,570,7,494,497,509,133,0,0,0,4,1,0,286,2,11,359,76,127,36,45,1064,133,10.72702998555878,8.71952406806018,144.21593461166546,38.84045256535334,63.49923872308359,62.969044832434314
