Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
32,92,706,434,75,193,18,648,381,10,135,490,490,520,158,0,0,0,46,78,0,8,311,1,17,0,312,22,69,1034,158,9.960534557058146,3.790029435331921,229.02337649630948,32.22613457264599,6.406686508738475,1.4965898726831472
33,75,268,342,684,131,12,213,271,647,73,533,448,519,116,0,0,43,62,70,0,35,137,2,3,9,255,10,16,1100,116,4.150435048000422,1.751857873614931,91.25033931825256,23.757675433752244,6.695089183941796,2.4066333714335784
34,93,88,408,538,373,35,14,345,478,322,483,512,505,97,0,0,49,217,45,0,52,9,13,18,4,316,13,29,1097,97,5.824645255299451,2.122910310808573,417.7556784379011,122.3761733824011,6.267772872485473,2.3301581541694945
35,73,121,437,555,314,11,66,380,508,253,514,469,517,114,0,0,14,171,65,0,3,27,2,4,5,326,16,54,1104,114,8.037456345281301,2.441180158516021,218.40855440721452,51.68488340064237,5.607221621605532,2.794788003459478
36,78,75,231,447,669,12,17,158,389,614,500,527,473,225,0,0,13,226,289,0,15,7,0,0,12,115,19,43,965,225,10.831246976543634,6.6851682971639725,368.4427558436113,506.18489964636535,3.3752342483347166,1.2841192383384823
37,90,204,417,700,89,16,140,356,647,36,505,495,500,92,0,0,38,23,21,0,55,126,4,6,9,319,21,37,1103,92,5.8859744309901085,2.186768480413312,67.43069300508292,14.18817852922572,4.433639596049471,1.5972568352442256
38,63,374,271,472,320,12,305,213,415,259,480,521,499,168,0,0,14,65,221,0,11,225,2,2,8,196,5,17,1036,168,5.191553202532761,2.0376283830323008,312.251269790785,150.32499629940588,7.136586878224103,3.5153093604958823
39,59,332,263,529,317,9,284,197,456,269,501,506,493,161,0,0,33,180,243,0,35,73,3,2,6,131,63,66,1054,161,2.772345636143404,0.7989941572240332,64.70178511205316,18.424005988510544,8.52752371149708,3.5288063770187548
40,68,308,202,487,435,8,248,135,433,382,508,471,521,99,0,0,14,212,280,0,7,62,2,1,5,92,27,43,1107,99,6.55445991466713,2.0860244813063353,351.4064057683234,552.6679967110481,4.3713726491540665,1.419403644572324
41,108,231,371,569,221,53,169,297,504,168,505,497,498,98,0,0,51,80,97,0,19,144,24,6,46,270,17,27,1093,98,4.734632177647846,1.772819996752892,91.2976569652497,24.273960186358575,5.402094984427567,2.623862272075405
42,53,108,412,467,460,2,49,350,403,408,491,461,548,123,0,0,5,249,67,0,1,25,0,0,2,313,15,37,1089,123,6.417000895690343,2.0420351830219055,368.33102538060336,84.99824511877407,5.872077280101933,2.9197435120871273
43,76,673,159,259,333,10,617,92,202,273,497,494,509,172,0,0,23,198,307,0,12,89,0,8,2,82,10,10,1022,172,3.87215413329656,1.472585521178688,359.14440216687603,86.02160286233516,6.745857545669315,2.317248577923021
44,68,444,312,570,106,11,371,251,518,33,500,487,513,146,0,0,67,21,61,0,85,313,0,5,6,237,6,14,1038,146,7.930113439306443,4.636126297273312,71.55415265328475,22.771670941378158,6.218120342103398,3.0516038475607443
45,94,407,313,565,121,36,344,264,508,57,508,449,543,136,0,0,39,33,107,0,36,234,17,16,3,224,12,40,1073,136,7.98023875727492,2.5655288670948058,141.03579631086876,27.794243631655355,6.476424770648561,3.342930924248491
46,59,179,435,497,330,3,122,369,441,271,463,501,536,139,0,0,12,169,53,0,9,93,0,0,3,349,8,20,1067,139,5.853450548875624,1.9916702813948666,273.4402688214788,60.86782580015657,6.371022084292245,2.960338844658949
47,75,406,382,530,107,12,342,327,469,58,486,496,518,134,0,0,22,5,105,0,11,254,5,1,9,284,18,43,1074,134,6.049713832824136,2.0543398388032714,67.46029812164566,13.842251892518474,7.6377924540539475,4.1700762526121515
48,73,372,367,528,160,19,310,310,463,93,485,463,552,182,0,0,25,29,59,0,11,310,5,1,14,300,5,10,1013,182,4.787375005779526,1.915388082506575,97.00750482216259,26.46053158646117,7.704196472544236,3.5176296175985304
49,80,674,191,448,107,16,619,128,385,46,503,501,496,168,0,0,23,21,273,0,16,327,2,2,13,117,11,11,1026,168,2.6814261268583235,1.2596687291921143,116.34528003508944,27.194279020376825,5.918844497094885,2.388722272229957
50,86,630,372,243,169,15,581,314,192,110,492,509,499,173,0,0,23,33,105,0,32,302,6,7,2,284,9,30,1039,173,7.365252527921044,2.27122582579353,194.23486939998102,29.442278969654,5.980295137668919,3.456251698555208
51,71,435,285,501,208,12,372,232,437,151,476,508,516,141,0,0,36,16,161,0,27,310,3,4,7,223,6,9,1063,141,3.012412351649528,1.2725801497725746,112.9347069521636,24.845676702653158,7.168214310787349,3.7834265376100755
52,61,269,366,402,402,6,202,305,342,338,500,513,487,84,0,0,14,209,132,0,3,118,1,2,3,272,12,33,1109,84,6.098546037215982,2.3192269511106005,432.17753949589746,135.39109373515694,3.6974409658552516,1.2776864200379774
